scene_token,scene_index,candidate_count,target_file,C_environment_only_finite_coverage,actor_slot_valid_coverage,horizon_coverage,reactive_response_coverage,traffic_policy
c9b43ef1dc67596c,34,12,targets/c9b43ef1dc67596c.npz,1.0,0.21875,1.0,0.0,non_reactive
4f0cf65667075451,35,12,targets/4f0cf65667075451.npz,1.0,1.0,1.0,0.0,non_reactive
2b98529dd2625278,36,12,targets/2b98529dd2625278.npz,1.0,0.859375,1.0,0.0,non_reactive
3b85c818f5b75b59,37,12,targets/3b85c818f5b75b59.npz,1.0,0.515625,1.0,0.0,non_reactive
c846a2c6391851aa,38,12,targets/c846a2c6391851aa.npz,1.0,1.0,1.0,0.0,non_reactive
0a435b92c1fa51ef,39,12,targets/0a435b92c1fa51ef.npz,1.0,1.0,1.0,0.0,non_reactive
4d201c3f7ebc5eb2,40,12,targets/4d201c3f7ebc5eb2.npz,1.0,1.0,1.0,0.0,non_reactive
761bc8feb786586b,41,12,targets/761bc8feb786586b.npz,1.0,1.0,1.0,0.0,non_reactive
9405bf8a6f0a5cd1,42,12,targets/9405bf8a6f0a5cd1.npz,1.0,1.0,1.0,0.0,non_reactive
25a4c44bc08655ef,43,12,targets/25a4c44bc08655ef.npz,1.0,0.375,1.0,0.0,non_reactive
c370b549981559e3,44,12,targets/c370b549981559e3.npz,1.0,0.3125,1.0,0.0,non_reactive
f6d03d0157505636,45,12,targets/f6d03d0157505636.npz,1.0,0.53125,1.0,0.0,non_reactive
7ef666e2075a5db5,46,12,targets/7ef666e2075a5db5.npz,1.0,1.0,1.0,0.0,non_reactive
b6e6dd31d59e5116,47,12,targets/b6e6dd31d59e5116.npz,1.0,0.265625,1.0,0.0,non_reactive
bb516f56816d5b9b,48,12,targets/bb516f56816d5b9b.npz,1.0,1.0,1.0,0.0,non_reactive
3782093c51d15f92,49,12,targets/3782093c51d15f92.npz,1.0,1.0,1.0,0.0,non_reactive
12950ee801a4515c,50,12,targets/12950ee801a4515c.npz,1.0,1.0,1.0,0.0,non_reactive
d3cf52a3cc8e5ca9,51,12,targets/d3cf52a3cc8e5ca9.npz,1.0,1.0,1.0,0.0,non_reactive
52d39104cfb85415,52,12,targets/52d39104cfb85415.npz,1.0,1.0,1.0,0.0,non_reactive
ce33d5c63d475852,53,12,targets/ce33d5c63d475852.npz,1.0,1.0,1.0,0.0,non_reactive
000ff1256178577c,54,12,targets/000ff1256178577c.npz,1.0,1.0,1.0,0.0,non_reactive
001088ce90dc5070,55,12,targets/001088ce90dc5070.npz,1.0,1.0,1.0,0.0,non_reactive
0016972ab7e0517f,56,12,targets/0016972ab7e0517f.npz,1.0,0.296875,1.0,0.0,non_reactive
002796a04cc45470,57,12,targets/002796a04cc45470.npz,1.0,0.140625,1.0,0.0,non_reactive
0035cc98444f5957,58,12,targets/0035cc98444f5957.npz,1.0,1.0,1.0,0.0,non_reactive
004e09452e0f58eb,59,12,targets/004e09452e0f58eb.npz,1.0,1.0,1.0,0.0,non_reactive
004fe1aaef9d51ca,60,12,targets/004fe1aaef9d51ca.npz,1.0,1.0,1.0,0.0,non_reactive
0050596b1fab58c6,61,12,targets/0050596b1fab58c6.npz,1.0,1.0,1.0,0.0,non_reactive
006de4c9de705421,62,12,targets/006de4c9de705421.npz,1.0,1.0,1.0,0.0,non_reactive
0076db3c84715464,63,12,targets/0076db3c84715464.npz,1.0,1.0,1.0,0.0,non_reactive
