scene_token,factors_array_equal,score_array_equal,raw_progress_array_equal,oracle_index_equal,candidate_indices_equal,max_factor_absolute_error,max_score_absolute_error,max_raw_progress_absolute_error,score_reconstruction_max_error
699592e2d3cd5296,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
94215378168859e5,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
995ba078befa55c8,True,True,True,True,True,0.0,0.0,0.0,3.2285849216329154e-08
a2427ec82b7e530d,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
24203499007050ee,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
96198b6e9db0567b,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
c6235a9a05d05d4c,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
979955df3e6a5131,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
91ae4404692c5166,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
0c79d5f4a49b595d,True,True,True,True,True,0.0,0.0,0.0,2.5456150409830514e-08
9b00fd18deb8579f,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
fff54430109e5305,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
34aba21d96705566,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
a9308cce41df5067,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
9d9c8dd5186752d8,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
759d491519db59cb,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
e3e71391914b5fae,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
d17f73f9c9035c25,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
cc548021d7fe530b,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
ad1362d10257509a,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
3478868e7fb151f0,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
5c198e61e2315a86,True,True,True,True,True,0.0,0.0,0.0,1.986821490662649e-08
159d25d7826d5fc6,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
5f6c5d275fdf5d1d,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
2e6da2a8c5035f9e,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
50f7ee81590d54f6,True,True,True,True,True,0.0,0.0,0.0,3.2285849216329154e-08
9f0563249bb25571,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
db9b0b1ea1bd5e0c,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
66282414358758cb,True,True,True,True,True,0.0,0.0,0.0,1.30385160446167e-08
5de7ba347cd55625,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
ab1372a689a95f5d,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
991205fbffb45377,True,True,True,True,True,0.0,0.0,0.0,3.2285849216329154e-08
134c4724d5d4554f,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
e7d60afdb345569f,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
e959fc4a3b1850a1,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
0ecfe15430645c39,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
98c9258656b35bce,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
b50e792b678557fb,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
0b2ca477901751f8,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
169eaa9c3b8b5255,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
92de464b53b951fa,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
7c9552b68a955b75,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
22847113f7d25b4d,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
1c7215afa4e557c0,True,True,True,True,True,0.0,0.0,0.0,2.731879555906147e-08
09c40477d9365a63,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
8a8e5a5932c55cfd,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
3fc98b0475fe566d,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
52b7a99b30f45c33,True,True,True,True,True,0.0,0.0,0.0,1.5522042928761692e-08
5fcc941d16ac5711,True,True,True,True,True,0.0,0.0,0.0,1.4435499906539917e-08
c9f0f9335bfe5e5f,True,True,True,True,True,0.0,0.0,0.0,2.731879555906147e-08
165e9078bfaa517b,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
ed9faccd5d6d5787,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
fe7f48961a9c541a,True,True,True,True,True,0.0,0.0,0.0,1.2728075204915257e-08
a28ed4c1baa15f7f,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
ad73dffc7d245cca,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
2a2403c9b08b53ac,True,True,True,True,True,0.0,0.0,0.0,1.986821490662649e-08
b428ddf9aacc554d,True,True,True,True,True,0.0,0.0,0.0,1.7384688022481498e-08
9a852084f178576b,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
46996c06146455ba,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
16953c5df45d53d0,True,True,True,True,True,0.0,0.0,0.0,2.731879555906147e-08
650adaba4b5f5bd1,True,True,True,True,True,0.0,0.0,0.0,1.4901161193847656e-08
d11e45d665db58dc,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
eb5138aebadd59b9,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
f259451b59fe5ccb,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
9ad50c235f3b558b,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
3533b2210cfb5826,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
f06d778ed11c531e,True,True,True,True,True,0.0,0.0,0.0,2.2351741790771484e-08
3a4cad8cdc5254f4,True,True,True,True,True,0.0,0.0,0.0,1.1175870895385742e-08
de8115f15a0258dc,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
9e67b6f34f7a56c6,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
771ee18b296655a7,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
b44e552bb4e05ffa,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
f43fc1460f385937,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
60d20012a2005c4f,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
1af3172cf7d058c6,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
e9b172e3af515b7f,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
7d442791cf345880,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
21cff006a9565439,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
430349bcb1a25d96,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
5abad095979e5f65,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
89db2ae2e1e45b8d,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
f23ebef8f5605a9d,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
1fda201356475674,True,True,True,True,True,0.0,0.0,0.0,3.2285849216329154e-08
fdb911f7ddac5466,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
02a1be482e5e5a39,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
a19a65c5bf0c5965,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
df33009742fd5aa2,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
24c08f867914565b,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
998fd116a5365b76,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
298d8cefd1715916,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
b5319157e1065b06,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
9dedf462b1c0528f,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
18ef35c24b2c5c8e,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
e411175e07665392,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
8af670cb9c5c55c1,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
e45d4e1245835372,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
a39639adc33b5cb4,True,True,True,True,True,0.0,0.0,0.0,1.6142924608164577e-08
41ccc41aa6d95648,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
71769d75a0cd5e6c,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
393f663e1fa05ed9,True,True,True,True,True,0.0,0.0,0.0,1.4901161193847656e-08
b0a901f8ac6c5102,True,True,True,True,True,0.0,0.0,0.0,1.6142924608164577e-08
ac60efafd59d5030,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
011bf18390365320,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
1f9bf387b3665b8b,True,True,True,True,True,0.0,0.0,0.0,1.4901161193847656e-08
ffbed38f63fe5687,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
7368daf9b917558c,True,True,True,True,True,0.0,0.0,0.0,3.1044085857523385e-08
5e1686b780be58fb,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
96afe9fa40265392,True,True,True,True,True,0.0,0.0,0.0,1.986821490662649e-08
92ff8189fbcd57cc,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
3ecf2b9afa505c51,True,True,True,True,True,0.0,0.0,0.0,3.2285849216329154e-08
ce1800c04ada5319,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
c98a40676c385a1b,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
2138334754ce51bd,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
453a22ec3b3c5b45,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
17dc75453e875096,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
cb31499c94365ab2,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
816835a3404455ed,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
63455f1ef124593d,True,True,True,True,True,0.0,0.0,0.0,1.6142924608164577e-08
a97370099c2a5788,True,True,True,True,True,0.0,0.0,0.0,1.986821490662649e-08
4024cfec37015bc9,True,True,True,True,True,0.0,0.0,0.0,1.986821490662649e-08
b1253c92df8c569e,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
e3df5cbe38765879,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
3a86facf3ce45abd,True,True,True,True,True,0.0,0.0,0.0,1.2417634309702663e-08
e51b1e738bee531a,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
e51107ef55c55041,True,True,True,True,True,0.0,0.0,0.0,2.825011813367695e-08
947dd343ad1c5fa1,True,True,True,True,True,0.0,0.0,0.0,2.1109978320943412e-08
4aee71274a115ea7,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
b5dc316258cc50fa,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
2441972d09265b96,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
506f938d7bf65360,True,True,True,True,True,0.0,0.0,0.0,2.297262347017437e-08
bcd120caf43e5db4,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
3e5d686ddaba5b0b,True,True,True,True,True,0.0,0.0,0.0,1.986821490662649e-08
51e2541a8fcb55a6,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
5925162aacd05953,True,True,True,True,True,0.0,0.0,0.0,2.4835268674916477e-08
84e1ac13f33052d5,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
a207b6ca15ea57c9,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
3173916338cc5b61,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
73640d9a58175e58,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
2ff11b20bbed5152,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
f83faebac60954f3,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
a04b244fbc6d5ccd,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
32383097eb815432,True,True,True,True,True,0.0,0.0,0.0,2.2351741790771484e-08
e073efca74a15fe9,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
6cff8cc4c3a8520e,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
9d43ccae54b758c8,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
eedd181f7da95382,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
e65699e635e759f4,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
ee7fa63de7325a94,True,True,True,True,True,0.0,0.0,0.0,3.1044085857523385e-08
a1dcb6aa12425ff5,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
830271bffcaf5813,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
c0ff7850e1035c6d,True,True,True,True,True,0.0,0.0,0.0,1.4901161193847656e-08
65d1bfda94a65f69,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
fe9c3d85a86a5858,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
d29047dbbfd1579c,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
8919b19c00f853cf,True,True,True,True,True,0.0,0.0,0.0,1.4901161193847656e-08
cf560641242357ec,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
eb4694939f605cc4,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
fc67412be3615e37,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
290cae625b0b5642,True,True,True,True,True,0.0,0.0,0.0,1.5522042928761692e-08
3ab1a87a109f5482,True,True,True,True,True,0.0,0.0,0.0,3.2285849216329154e-08
c2df446a1fbe5486,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
bd41611f25155d0b,True,True,True,True,True,0.0,0.0,0.0,1.30385160446167e-08
1370be1aa2aa5443,True,True,True,True,True,0.0,0.0,0.0,1.6142924608164577e-08
514ff0d300945035,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
1247f01b468a59c5,True,True,True,True,True,0.0,0.0,0.0,1.4901161193847656e-08
ccd610d9764856ad,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
2b15579fad0f5654,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
869d5c18896e5fd9,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
fdadd3b57d60524f,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
cc189488899551dc,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
c59a462e40ed5e75,True,True,True,True,True,0.0,0.0,0.0,1.4901161193847656e-08
34be881e1ef95821,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
d414225e45b256e8,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
9029978b99715595,True,True,True,True,True,0.0,0.0,0.0,1.738468807799265e-08
2572e13693e554c8,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
5a571994989e55b7,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
9f9d065b098c5d5d,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
d4af771eb71759a3,True,True,True,True,True,0.0,0.0,0.0,3.2285849216329154e-08
