log_name,fold,expected_scenes,summary_present,summary_complete,summary_failure_count,target_scenes,target_coverage,candidate_rows,candidate_scenes,candidate_valid,gt_exactly_once_rate,candidate_index_valid_rate,metric_rows,metric_scenes,metric_valid,scoring_success_rate
2021.06.07.19.43.00_veh-35_01782_01986,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.07.19.43.00_veh-35_02298_02525,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.12.00.19_veh-35_01722_02119,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.12.00.19_veh-35_02135_02369,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.12.00.19_veh-35_02988_03160,1,25,True,True,0,25,1.0,400,25,True,1.0,1.0,400,25,True,1.0
2021.06.08.12.00.19_veh-35_03451_03644,3,34,True,True,0,34,1.0,544,34,True,1.0,1.0,544,34,True,1.0
2021.06.08.12.00.19_veh-35_03655_03792,0,39,True,True,0,39,1.0,624,39,True,1.0,1.0,624,39,True,1.0
2021.06.08.12.00.19_veh-35_04422_04725,3,48,True,True,0,48,1.0,768,48,True,1.0,1.0,768,48,True,1.0
2021.06.08.12.00.19_veh-35_05235_05578,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.12.54.54_veh-26_00015_00507,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.12.54.54_veh-26_00733_00983,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.12.54.54_veh-26_01289_01417,3,23,True,True,0,23,1.0,368,23,True,1.0,1.0,368,23,True,1.0
2021.06.08.12.54.54_veh-26_02323_02479,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.12.54.54_veh-26_02994_03970,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.12.54.54_veh-26_04262_04732,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.14.14.51_veh-35_00893_01188,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.14.14.51_veh-35_01508_01763,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.14.35.24_veh-26_01989_02235,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.14.35.24_veh-26_02555_03004,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.14.36.49_veh-38_00312_00694,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.16.31.33_veh-38_00015_00262,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.16.31.33_veh-38_01589_02072,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.16.31.33_veh-38_03406_03605,0,8,True,True,0,8,1.0,128,8,True,1.0,1.0,128,8,True,1.0
2021.06.08.17.25.03_veh-35_02448_02655,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.17.25.03_veh-35_03522_03716,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.17.36.50_veh-26_03873_04225,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.17.36.50_veh-26_05134_05378,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.18.18.30_veh-38_01241_01417,4,7,True,True,0,7,1.0,112,7,True,1.0,1.0,112,7,True,1.0
2021.06.08.18.18.30_veh-38_05578_05988,3,46,True,True,0,46,1.0,736,46,True,1.0,1.0,736,46,True,1.0
2021.06.08.18.18.30_veh-38_06017_06142,2,49,True,True,0,49,1.0,784,49,True,1.0,1.0,784,49,True,1.0
2021.06.08.18.59.48_veh-12_01276_01459,1,17,True,True,0,17,1.0,272,17,True,1.0,1.0,272,17,True,1.0
2021.06.08.18.59.48_veh-12_02116_02247,0,16,True,True,0,16,1.0,256,16,True,1.0,1.0,256,16,True,1.0
2021.06.08.18.59.48_veh-12_03122_03677,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.08.19.16.23_veh-26_00193_00322,3,20,True,True,0,20,1.0,320,20,True,1.0,1.0,320,20,True,1.0
2021.06.08.19.16.23_veh-26_00973_01139,1,34,True,True,0,34,1.0,544,34,True,1.0,1.0,544,34,True,1.0
2021.06.09.11.54.15_veh-12_00015_00259,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.11.54.15_veh-12_00270_00339,0,4,True,True,0,4,1.0,64,4,True,1.0,1.0,64,4,True,1.0
2021.06.09.11.54.15_veh-12_00361_00678,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.11.54.15_veh-12_00689_01229,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.11.54.15_veh-12_01240_01361,1,17,True,True,0,17,1.0,272,17,True,1.0,1.0,272,17,True,1.0
2021.06.09.11.54.15_veh-12_01403_01526,3,37,True,True,0,37,1.0,592,37,True,1.0,1.0,592,37,True,1.0
2021.06.09.11.54.15_veh-12_01537_01628,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.11.54.15_veh-12_01705_01845,0,30,True,True,0,30,1.0,480,30,True,1.0,1.0,480,30,True,1.0
2021.06.09.11.54.15_veh-12_01902_02277,0,20,True,True,0,20,1.0,320,20,True,1.0,1.0,320,20,True,1.0
2021.06.09.11.54.15_veh-12_02288_02529,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.11.54.15_veh-12_02540_02723,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.11.54.15_veh-12_02734_02946,2,38,True,True,0,38,1.0,608,38,True,1.0,1.0,608,38,True,1.0
2021.06.09.11.54.15_veh-12_03121_03319,2,10,True,True,0,10,1.0,160,10,True,1.0,1.0,160,10,True,1.0
2021.06.09.11.54.15_veh-12_03371_03642,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.11.54.15_veh-12_03653_03902,2,48,True,True,0,48,1.0,768,48,True,1.0,1.0,768,48,True,1.0
2021.06.09.11.54.15_veh-12_03917_04069,0,15,True,True,0,15,1.0,240,15,True,1.0,1.0,240,15,True,1.0
2021.06.09.11.54.15_veh-12_04138_04355,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.11.54.15_veh-12_04366_04810,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.11.54.15_veh-12_04821_05096,0,41,True,True,0,41,1.0,656,41,True,1.0,1.0,656,41,True,1.0
2021.06.09.11.54.15_veh-12_05108_05331,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.11.54.15_veh-12_05342_05403,2,13,True,True,0,13,1.0,208,13,True,1.0,1.0,208,13,True,1.0
2021.06.09.11.54.15_veh-12_05414_05511,0,8,True,True,0,8,1.0,128,8,True,1.0,1.0,128,8,True,1.0
2021.06.09.11.54.15_veh-12_05543_05765,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.06.35_veh-35_00149_00262,2,26,True,True,0,26,1.0,416,26,True,1.0,1.0,416,26,True,1.0
2021.06.09.12.06.35_veh-35_00284_00410,2,33,True,True,0,33,1.0,528,33,True,1.0,1.0,528,33,True,1.0
2021.06.09.12.06.35_veh-35_00422_01112,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.06.35_veh-35_01164_01494,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.39.51_veh-26_00055_00360,1,36,True,True,0,36,1.0,576,36,True,1.0,1.0,576,36,True,1.0
2021.06.09.12.39.51_veh-26_00609_01168,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.39.51_veh-26_01179_01338,1,28,True,True,0,28,1.0,448,28,True,1.0,1.0,448,28,True,1.0
2021.06.09.12.39.51_veh-26_01653_01919,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.39.51_veh-26_01943_02303,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.39.51_veh-26_02338_02459,0,29,True,True,0,29,1.0,464,29,True,1.0,1.0,464,29,True,1.0
2021.06.09.12.39.51_veh-26_02470_02648,2,1,True,True,0,1,1.0,16,1,True,1.0,1.0,16,1,True,1.0
2021.06.09.12.39.51_veh-26_02729_02878,0,24,True,True,0,24,1.0,384,24,True,1.0,1.0,384,24,True,1.0
2021.06.09.12.39.51_veh-26_02901_02978,0,22,True,True,0,22,1.0,352,22,True,1.0,1.0,352,22,True,1.0
2021.06.09.12.39.51_veh-26_02989_03385,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.39.51_veh-26_03409_03722,4,5,True,True,0,5,1.0,80,5,True,1.0,1.0,80,5,True,1.0
2021.06.09.12.39.51_veh-26_03733_03918,2,28,True,True,0,28,1.0,448,28,True,1.0,1.0,448,28,True,1.0
2021.06.09.12.39.51_veh-26_03951_04180,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.39.51_veh-26_04255_04331,3,17,True,True,0,17,1.0,272,17,True,1.0,1.0,272,17,True,1.0
2021.06.09.12.39.51_veh-26_04374_04513,2,13,True,True,0,13,1.0,208,13,True,1.0,1.0,208,13,True,1.0
2021.06.09.12.39.51_veh-26_04543_05321,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.39.51_veh-26_05332_05540,0,42,True,True,0,42,1.0,672,42,True,1.0,1.0,672,42,True,1.0
2021.06.09.12.39.51_veh-26_05620_06003,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.51.31_veh-35_00007_00089,2,49,True,True,0,49,1.0,784,49,True,1.0,1.0,784,49,True,1.0
2021.06.09.12.51.31_veh-35_00100_00277,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.51.31_veh-35_00288_00529,2,11,True,True,0,11,1.0,176,11,True,1.0,1.0,176,11,True,1.0
2021.06.09.12.51.31_veh-35_00540_00631,2,2,True,True,0,2,1.0,32,2,True,1.0,1.0,32,2,True,1.0
2021.06.09.12.51.31_veh-35_00697_00820,4,23,True,True,0,23,1.0,368,23,True,1.0,1.0,368,23,True,1.0
2021.06.09.12.51.31_veh-35_00852_01020,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.51.31_veh-35_01047_01415,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.51.31_veh-35_01427_01576,4,8,True,True,0,8,1.0,128,8,True,1.0,1.0,128,8,True,1.0
2021.06.09.12.51.31_veh-35_01587_01718,0,2,True,True,0,2,1.0,32,2,True,1.0,1.0,32,2,True,1.0
2021.06.09.12.51.31_veh-35_01729_02626,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.51.31_veh-35_02677_02842,0,16,True,True,0,16,1.0,256,16,True,1.0,1.0,256,16,True,1.0
2021.06.09.12.51.31_veh-35_02975_03207,1,44,True,True,0,44,1.0,704,44,True,1.0,1.0,704,44,True,1.0
2021.06.09.12.51.31_veh-35_03229_03360,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.51.31_veh-35_03371_03476,4,29,True,True,0,29,1.0,464,29,True,1.0,1.0,464,29,True,1.0
2021.06.09.12.51.31_veh-35_03487_03821,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.51.31_veh-35_03869_04221,1,26,True,True,0,26,1.0,416,26,True,1.0,1.0,416,26,True,1.0
2021.06.09.12.51.31_veh-35_04247_04424,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.51.31_veh-35_04435_04593,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.51.31_veh-35_04715_04871,0,6,True,True,0,6,1.0,96,6,True,1.0,1.0,96,6,True,1.0
2021.06.09.12.51.31_veh-35_04882_05013,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.12.51.31_veh-35_05024_05275,3,26,True,True,0,26,1.0,416,26,True,1.0,1.0,416,26,True,1.0
2021.06.09.12.51.31_veh-35_05299_05468,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.03.17_veh-12_00015_00099,3,19,True,True,0,19,1.0,304,19,True,1.0,1.0,304,19,True,1.0
2021.06.09.14.03.17_veh-12_00159_00283,1,26,True,True,0,26,1.0,416,26,True,1.0,1.0,416,26,True,1.0
2021.06.09.14.03.17_veh-12_00294_00364,3,22,True,True,0,22,1.0,352,22,True,1.0,1.0,352,22,True,1.0
2021.06.09.14.03.17_veh-12_00375_00566,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.03.17_veh-12_00711_00839,1,48,True,True,0,48,1.0,768,48,True,1.0,1.0,768,48,True,1.0
2021.06.09.14.03.17_veh-12_00859_00931,1,27,True,True,0,27,1.0,432,27,True,1.0,1.0,432,27,True,1.0
2021.06.09.14.03.17_veh-12_01094_01213,0,2,True,True,0,2,1.0,32,2,True,1.0,1.0,32,2,True,1.0
2021.06.09.14.03.17_veh-12_01225_01437,4,3,True,True,0,3,1.0,48,3,True,1.0,1.0,48,3,True,1.0
2021.06.09.14.03.17_veh-12_01603_01708,3,6,True,True,0,6,1.0,96,6,True,1.0,1.0,96,6,True,1.0
2021.06.09.14.03.17_veh-12_01883_01955,2,30,True,True,0,30,1.0,480,30,True,1.0,1.0,480,30,True,1.0
2021.06.09.14.03.17_veh-12_02011_02101,3,42,True,True,0,42,1.0,672,42,True,1.0,1.0,672,42,True,1.0
2021.06.09.14.03.17_veh-12_02112_02202,0,12,True,True,0,12,1.0,192,12,True,1.0,1.0,192,12,True,1.0
2021.06.09.14.03.17_veh-12_02213_02304,1,2,True,True,0,2,1.0,32,2,True,1.0,1.0,32,2,True,1.0
2021.06.09.14.03.17_veh-12_02584_02970,0,33,True,True,0,33,1.0,528,33,True,1.0,1.0,528,33,True,1.0
2021.06.09.14.03.17_veh-12_03014_03120,3,10,True,True,0,10,1.0,160,10,True,1.0,1.0,160,10,True,1.0
2021.06.09.14.03.17_veh-12_03200_03333,1,39,True,True,0,39,1.0,624,39,True,1.0,1.0,624,39,True,1.0
2021.06.09.14.03.17_veh-12_03344_03461,1,13,True,True,0,13,1.0,208,13,True,1.0,1.0,208,13,True,1.0
2021.06.09.14.03.17_veh-12_03678_03787,4,49,True,True,0,49,1.0,784,49,True,1.0,1.0,784,49,True,1.0
2021.06.09.14.03.17_veh-12_03798_04118,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.03.17_veh-12_04129_04237,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.50.36_veh-26_00598_00665,0,27,True,True,0,27,1.0,432,27,True,1.0,1.0,432,27,True,1.0
2021.06.09.14.50.36_veh-26_00677_00819,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.50.36_veh-26_00832_00905,1,11,True,True,0,11,1.0,176,11,True,1.0,1.0,176,11,True,1.0
2021.06.09.14.50.36_veh-26_01037_01113,3,6,True,True,0,6,1.0,96,6,True,1.0,1.0,96,6,True,1.0
2021.06.09.14.50.36_veh-26_01124_01198,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.50.36_veh-26_01209_01393,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.50.36_veh-26_01537_01600,0,20,True,True,0,20,1.0,320,20,True,1.0,1.0,320,20,True,1.0
2021.06.09.14.50.36_veh-26_01698_01771,2,31,True,True,0,31,1.0,496,31,True,1.0,1.0,496,31,True,1.0
2021.06.09.14.50.36_veh-26_01782_02044,2,32,True,True,0,32,1.0,512,32,True,1.0,1.0,512,32,True,1.0
2021.06.09.14.50.36_veh-26_02081_02143,1,7,True,True,0,7,1.0,112,7,True,1.0,1.0,112,7,True,1.0
2021.06.09.14.50.36_veh-26_02376_02484,0,23,True,True,0,23,1.0,368,23,True,1.0,1.0,368,23,True,1.0
2021.06.09.14.50.36_veh-26_02495_02669,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.50.36_veh-26_02680_02781,3,5,True,True,0,5,1.0,80,5,True,1.0,1.0,80,5,True,1.0
2021.06.09.14.50.36_veh-26_02826_02955,4,25,True,True,0,25,1.0,400,25,True,1.0,1.0,400,25,True,1.0
2021.06.09.14.50.36_veh-26_03061_03152,4,6,True,True,0,6,1.0,96,6,True,1.0,1.0,96,6,True,1.0
2021.06.09.14.50.36_veh-26_03208_03299,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.50.36_veh-26_03403_03496,3,39,True,True,0,39,1.0,624,39,True,1.0,1.0,624,39,True,1.0
2021.06.09.14.50.36_veh-26_03507_03584,2,20,True,True,0,20,1.0,320,20,True,1.0,1.0,320,20,True,1.0
2021.06.09.14.50.36_veh-26_03595_03863,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.50.36_veh-26_03874_04112,0,33,True,True,0,33,1.0,528,33,True,1.0,1.0,528,33,True,1.0
2021.06.09.14.50.36_veh-26_04226_04484,2,35,True,True,0,35,1.0,560,35,True,1.0,1.0,560,35,True,1.0
2021.06.09.14.50.36_veh-26_04605_04729,3,3,True,True,0,3,1.0,48,3,True,1.0,1.0,48,3,True,1.0
2021.06.09.14.50.36_veh-26_04746_04837,1,20,True,True,0,20,1.0,320,20,True,1.0,1.0,320,20,True,1.0
2021.06.09.14.50.36_veh-26_05055_05138,4,35,True,True,0,35,1.0,560,35,True,1.0,1.0,560,35,True,1.0
2021.06.09.14.50.36_veh-26_05225_05311,1,7,True,True,0,7,1.0,112,7,True,1.0,1.0,112,7,True,1.0
2021.06.09.14.50.36_veh-26_05326_05387,4,1,True,True,0,1,1.0,16,1,True,1.0,1.0,16,1,True,1.0
2021.06.09.14.50.36_veh-26_05398_05800,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.50.36_veh-26_05825_05901,0,38,True,True,0,38,1.0,608,38,True,1.0,1.0,608,38,True,1.0
2021.06.09.14.58.55_veh-35_00016_00182,1,46,True,True,0,46,1.0,736,46,True,1.0,1.0,736,46,True,1.0
2021.06.09.14.58.55_veh-35_00193_01084,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.58.55_veh-35_01095_01484,4,17,True,True,0,17,1.0,272,17,True,1.0,1.0,272,17,True,1.0
2021.06.09.14.58.55_veh-35_01496_01664,2,40,True,True,0,40,1.0,640,40,True,1.0,1.0,640,40,True,1.0
2021.06.09.14.58.55_veh-35_01675_01774,2,44,True,True,0,44,1.0,704,44,True,1.0,1.0,704,44,True,1.0
2021.06.09.14.58.55_veh-35_01785_01883,3,27,True,True,0,27,1.0,432,27,True,1.0,1.0,432,27,True,1.0
2021.06.09.14.58.55_veh-35_01894_02311,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.58.55_veh-35_02580_02649,0,25,True,True,0,25,1.0,400,25,True,1.0,1.0,400,25,True,1.0
2021.06.09.14.58.55_veh-35_02660_02757,2,38,True,True,0,38,1.0,608,38,True,1.0,1.0,608,38,True,1.0
2021.06.09.14.58.55_veh-35_02778_02850,1,29,True,True,0,29,1.0,464,29,True,1.0,1.0,464,29,True,1.0
2021.06.09.14.58.55_veh-35_02861_03037,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.58.55_veh-35_03048_03301,1,46,True,True,0,46,1.0,736,46,True,1.0,1.0,736,46,True,1.0
2021.06.09.14.58.55_veh-35_03312_03379,4,10,True,True,0,10,1.0,160,10,True,1.0,1.0,160,10,True,1.0
2021.06.09.14.58.55_veh-35_03390_03537,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.58.55_veh-35_03548_03800,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.58.55_veh-35_03811_03916,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.58.55_veh-35_03927_04034,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.58.55_veh-35_04047_04349,1,33,True,True,0,33,1.0,528,33,True,1.0,1.0,528,33,True,1.0
2021.06.09.14.58.55_veh-35_04541_04657,2,16,True,True,0,16,1.0,256,16,True,1.0,1.0,256,16,True,1.0
2021.06.09.14.58.55_veh-35_04695_05321,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.09.14.58.55_veh-35_05473_05626,1,20,True,True,0,20,1.0,320,20,True,1.0,1.0,320,20,True,1.0
2021.06.09.14.58.55_veh-35_05655_05745,1,39,True,True,0,39,1.0,624,39,True,1.0,1.0,624,39,True,1.0
