group,model,fold,factor,bin,lower,upper,count,mean_probability,observed_rate
O0,linear,1,ttc,8,0.8,0.9,0,,
O0,linear,1,ttc,9,0.9,1.0,0,,
O0,linear,2,collision,0,0.0,0.1,4599,0.0943756963888389,0.0160904544466188
O0,linear,2,collision,1,0.1,0.2,140496,0.1332871473672002,0.0808421592073795
O0,linear,2,collision,2,0.2,0.3,121,0.2059825259791918,0.0330578512396694
O0,linear,2,collision,3,0.3,0.4,0,,
O0,linear,2,collision,4,0.4,0.5,0,,
O0,linear,2,collision,5,0.5,0.6000000000000001,0,,
O0,linear,2,collision,6,0.6000000000000001,0.7000000000000001,0,,
O0,linear,2,collision,7,0.7000000000000001,0.8,0,,
O0,linear,2,collision,8,0.8,0.9,0,,
O0,linear,2,collision,9,0.9,1.0,0,,
O0,linear,2,ttc,0,0.0,0.1,0,,
O0,linear,2,ttc,1,0.1,0.2,138785,0.1720864681939113,0.1640883380768815
O0,linear,2,ttc,2,0.2,0.3,6428,0.209741054787796,0.2450217797137523
O0,linear,2,ttc,3,0.3,0.4,3,0.3055889010429382,0.3333333333333333
O0,linear,2,ttc,4,0.4,0.5,0,,
O0,linear,2,ttc,5,0.5,0.6000000000000001,0,,
O0,linear,2,ttc,6,0.6000000000000001,0.7000000000000001,0,,
O0,linear,2,ttc,7,0.7000000000000001,0.8,0,,
O0,linear,2,ttc,8,0.8,0.9,0,,
O0,linear,2,ttc,9,0.9,1.0,0,,
O0,linear,3,collision,0,0.0,0.1,7124,0.0922454373899518,0.014177428411005
O0,linear,3,collision,1,0.1,0.2,137998,0.1302703322211055,0.0730517833591791
O0,linear,3,collision,2,0.2,0.3,78,0.2038092936078707,0.0128205128205128
O0,linear,3,collision,3,0.3,0.4,0,,
O0,linear,3,collision,4,0.4,0.5,0,,
O0,linear,3,collision,5,0.5,0.6000000000000001,0,,
O0,linear,3,collision,6,0.6000000000000001,0.7000000000000001,0,,
O0,linear,3,collision,7,0.7000000000000001,0.8,0,,
O0,linear,3,collision,8,0.8,0.9,0,,
O0,linear,3,collision,9,0.9,1.0,0,,
O0,linear,3,ttc,0,0.0,0.1,59,0.0931327161142381,0.0677966101694915
O0,linear,3,ttc,1,0.1,0.2,138180,0.1704240481004298,0.1584599797365754
O0,linear,3,ttc,2,0.2,0.3,6924,0.2107666787287357,0.2186597342576545
O0,linear,3,ttc,3,0.3,0.4,37,0.3343216470769933,0.054054054054054
O0,linear,3,ttc,4,0.4,0.5,0,,
O0,linear,3,ttc,5,0.5,0.6000000000000001,0,,
O0,linear,3,ttc,6,0.6000000000000001,0.7000000000000001,0,,
O0,linear,3,ttc,7,0.7000000000000001,0.8,0,,
O0,linear,3,ttc,8,0.8,0.9,0,,
O0,linear,3,ttc,9,0.9,1.0,0,,
O0,linear,4,collision,0,0.0,0.1,1406,0.0948103903547713,0.0106685633001422
O0,linear,4,collision,1,0.1,0.2,143481,0.1427343216687377,0.0647611878924735
O0,linear,4,collision,2,0.2,0.3,313,0.2140063047409057,0.0766773162939297
O0,linear,4,collision,3,0.3,0.4,0,,
O0,linear,4,collision,4,0.4,0.5,0,,
O0,linear,4,collision,5,0.5,0.6000000000000001,0,,
O0,linear,4,collision,6,0.6000000000000001,0.7000000000000001,0,,
O0,linear,4,collision,7,0.7000000000000001,0.8,0,,
O0,linear,4,collision,8,0.8,0.9,0,,
O0,linear,4,collision,9,0.9,1.0,0,,
O0,linear,4,ttc,0,0.0,0.1,0,,
O0,linear,4,ttc,1,0.1,0.2,129079,0.1798903313311914,0.1453838347058778
O0,linear,4,ttc,2,0.2,0.3,16121,0.208161057414351,0.2068730227653371
O0,linear,4,ttc,3,0.3,0.4,0,,
O0,linear,4,ttc,4,0.4,0.5,0,,
O0,linear,4,ttc,5,0.5,0.6000000000000001,0,,
O0,linear,4,ttc,6,0.6000000000000001,0.7000000000000001,0,,
O0,linear,4,ttc,7,0.7000000000000001,0.8,0,,
O0,linear,4,ttc,8,0.8,0.9,0,,
O0,linear,4,ttc,9,0.9,1.0,0,,
O0,mlp,0,collision,0,0.0,0.1,106313,0.0293842824006486,0.0222550393648942
O0,mlp,0,collision,1,0.1,0.2,19328,0.145164866653419,0.1369515728476821
O0,mlp,0,collision,2,0.2,0.3,11387,0.2443557157059093,0.2074295248968121
O0,mlp,0,collision,3,0.3,0.4,5393,0.3423251174673529,0.2544038568514741
O0,mlp,0,collision,4,0.4,0.5,1814,0.4403923103768613,0.330760749724366
O0,mlp,0,collision,5,0.5,0.6000000000000001,583,0.5398788258918972,0.3876500857632933
O0,mlp,0,collision,6,0.6000000000000001,0.7000000000000001,236,0.6423938875481233,0.326271186440678
O0,mlp,0,collision,7,0.7000000000000001,0.8,119,0.7416175944464547,0.453781512605042
O0,mlp,0,collision,8,0.8,0.9,38,0.8374948736868406,0.4473684210526316
O0,mlp,0,collision,9,0.9,1.0,5,0.9387543201446532,0.6
O0,mlp,0,ttc,0,0.0,0.1,73887,0.0511032444820101,0.0392220553006618
O0,mlp,0,ttc,1,0.1,0.2,26776,0.1434108356224255,0.1565581117418583
O0,mlp,0,ttc,2,0.2,0.3,16013,0.2474112240025889,0.2499843876850059
O0,mlp,0,ttc,3,0.3,0.4,12594,0.3473323937780576,0.3361918373828807
O0,mlp,0,ttc,4,0.4,0.5,8728,0.4458584147620704,0.389436296975252
O0,mlp,0,ttc,5,0.5,0.6000000000000001,4666,0.5431571264048273,0.4567081011573082
O0,mlp,0,ttc,6,0.6000000000000001,0.7000000000000001,1730,0.640913995463035,0.523121387283237
O0,mlp,0,ttc,7,0.7000000000000001,0.8,542,0.7412239154766407,0.5608856088560885
O0,mlp,0,ttc,8,0.8,0.9,209,0.8485397285821905,0.6507177033492823
O0,mlp,0,ttc,9,0.9,1.0,71,0.9311562381999592,0.6619718309859155
O0,mlp,1,collision,0,0.0,0.1,102211,0.0304319540741388,0.0206729217011867
O0,mlp,1,collision,1,0.1,0.2,20970,0.1462339116577512,0.1400095374344301
O0,mlp,1,collision,2,0.2,0.3,12647,0.2443386751233782,0.2141219261484937
O0,mlp,1,collision,3,0.3,0.4,6012,0.3434430957137943,0.2594810379241516
O0,mlp,1,collision,4,0.4,0.5,2232,0.4398406498321068,0.2867383512544803
O0,mlp,1,collision,5,0.5,0.6000000000000001,666,0.5413663678162091,0.3108108108108108
O0,mlp,1,collision,6,0.6000000000000001,0.7000000000000001,293,0.6429864442796024,0.3583617747440273
O0,mlp,1,collision,7,0.7000000000000001,0.8,113,0.7422293487903291,0.3805309734513274
O0,mlp,1,collision,8,0.8,0.9,48,0.842818520963192,0.3333333333333333
O0,mlp,1,collision,9,0.9,1.0,8,0.9394812062382698,0.0
O0,mlp,1,ttc,0,0.0,0.1,71720,0.0496937495406404,0.0362102621305075
O0,mlp,1,ttc,1,0.1,0.2,27558,0.1432840921494644,0.15665142608317
O0,mlp,1,ttc,2,0.2,0.3,16994,0.2478417970219948,0.2635047663881369
O0,mlp,1,ttc,3,0.3,0.4,12835,0.347226512452996,0.3522399688352162
O0,mlp,1,ttc,4,0.4,0.5,8559,0.4455628287974661,0.4064727187755579
O0,mlp,1,ttc,5,0.5,0.6000000000000001,4702,0.5444596642283671,0.4612930667800936
O0,mlp,1,ttc,6,0.6000000000000001,0.7000000000000001,1981,0.6403599646523527,0.5078243311458859
O0,mlp,1,ttc,7,0.7000000000000001,0.8,569,0.7418501398056379,0.5536028119507909
O0,mlp,1,ttc,8,0.8,0.9,231,0.8363591275173864,0.7056277056277056
O0,mlp,1,ttc,9,0.9,1.0,51,0.9329509279307198,0.4509803921568627
O0,mlp,2,collision,0,0.0,0.1,104984,0.0296456450605422,0.0240893850491503
O0,mlp,2,collision,1,0.1,0.2,21114,0.1455748921191956,0.1723027375201288
O0,mlp,2,collision,2,0.2,0.3,12219,0.2442594545642076,0.2510025370324903
O0,mlp,2,collision,3,0.3,0.4,4728,0.3396699404416451,0.3085871404399323
O0,mlp,2,collision,4,0.4,0.5,1299,0.4386437210878837,0.3063895304080061
O0,mlp,2,collision,5,0.5,0.6000000000000001,422,0.5451188396786062,0.3720379146919431
O0,mlp,2,collision,6,0.6000000000000001,0.7000000000000001,233,0.6414296511928411,0.3819742489270386
O0,mlp,2,collision,7,0.7000000000000001,0.8,137,0.7498083558395832,0.4744525547445255
O0,mlp,2,collision,8,0.8,0.9,69,0.8373413863389388,0.4057971014492754
O0,mlp,2,collision,9,0.9,1.0,11,0.9173360737887296,0.5454545454545454
O0,mlp,2,ttc,0,0.0,0.1,75917,0.0496323192947778,0.0379098225693849
O0,mlp,2,ttc,1,0.1,0.2,26154,0.1438386784860042,0.185440085646555
O0,mlp,2,ttc,2,0.2,0.3,16680,0.2477488548573044,0.3038968824940048
O0,mlp,2,ttc,3,0.3,0.4,12865,0.3465772911564552,0.3878740769529731
O0,mlp,2,ttc,4,0.4,0.5,8102,0.4438317743930308,0.4517403110343125
O0,mlp,2,ttc,5,0.5,0.6000000000000001,3592,0.5421476194381979,0.4958240534521158
O0,mlp,2,ttc,6,0.6000000000000001,0.7000000000000001,1215,0.6410182089472013,0.5539094650205761
O0,mlp,2,ttc,7,0.7000000000000001,0.8,399,0.740202173852084,0.6340852130325815
O0,mlp,2,ttc,8,0.8,0.9,231,0.8450372923504222,0.670995670995671
O0,mlp,2,ttc,9,0.9,1.0,61,0.9271243058267188,0.6557377049180327
O0,mlp,3,collision,0,0.0,0.1,102342,0.0298101490985347,0.019747513239921
O0,mlp,3,collision,1,0.1,0.2,20719,0.1466096152312202,0.137265312032434
O0,mlp,3,collision,2,0.2,0.3,12728,0.2446598643173611,0.2111093651791326
O0,mlp,3,collision,3,0.3,0.4,6219,0.3430273341756864,0.2545425309535295
O0,mlp,3,collision,4,0.4,0.5,2233,0.4398283320347717,0.3130317957904164
O0,mlp,3,collision,5,0.5,0.6000000000000001,602,0.5401392142439998,0.335548172757475
O0,mlp,3,collision,6,0.6000000000000001,0.7000000000000001,218,0.6417289540308331,0.3944954128440367
O0,mlp,3,collision,7,0.7000000000000001,0.8,114,0.7420911496145683,0.4473684210526316
O0,mlp,3,collision,8,0.8,0.9,24,0.8367360557119051,0.4166666666666667
O0,mlp,3,collision,9,0.9,1.0,1,0.92539781332016,0.0
O0,mlp,3,ttc,0,0.0,0.1,74046,0.0490976302705526,0.0363692839586203
O0,mlp,3,ttc,1,0.1,0.2,25253,0.1443344668266122,0.1643765097216172
O0,mlp,3,ttc,2,0.2,0.3,16773,0.2483754375065431,0.2728790317772611
O0,mlp,3,ttc,3,0.3,0.4,13564,0.3471652832650146,0.3532143910350929
O0,mlp,3,ttc,4,0.4,0.5,8766,0.4445418335825456,0.4264202600958248
O0,mlp,3,ttc,5,0.5,0.6000000000000001,4474,0.5429067861090614,0.4870362092087617
O0,mlp,3,ttc,6,0.6000000000000001,0.7000000000000001,1543,0.6407241918634302,0.5204147764095917
O0,mlp,3,ttc,7,0.7000000000000001,0.8,514,0.7395920367324399,0.585603112840467
O0,mlp,3,ttc,8,0.8,0.9,232,0.8422844081089415,0.6810344827586207
O0,mlp,3,ttc,9,0.9,1.0,35,0.9238691142627172,0.7142857142857143
O0,mlp,4,collision,0,0.0,0.1,106530,0.0287506866074656,0.0199755937294658
O0,mlp,4,collision,1,0.1,0.2,21117,0.1455385927819204,0.1396978737510062
O0,mlp,4,collision,2,0.2,0.3,10811,0.2431915210286537,0.2137637591342151
O0,mlp,4,collision,3,0.3,0.4,4499,0.3416578317382754,0.2633918648588575
O0,mlp,4,collision,4,0.4,0.5,1579,0.4396643123157119,0.3147561747941735
O0,mlp,4,collision,5,0.5,0.6000000000000001,387,0.5391617013810525,0.3617571059431524
O0,mlp,4,collision,6,0.6000000000000001,0.7000000000000001,155,0.6427848654408609,0.4193548387096774
O0,mlp,4,collision,7,0.7000000000000001,0.8,109,0.7406767322382796,0.4587155963302752
O0,mlp,4,collision,8,0.8,0.9,12,0.8274101863304774,0.4166666666666667
O0,mlp,4,collision,9,0.9,1.0,1,0.9530161023139954,0.0
O0,mlp,4,ttc,0,0.0,0.1,76756,0.0494288665142051,0.0378602324248267
O0,mlp,4,ttc,1,0.1,0.2,27659,0.1432201859417898,0.1643587982211938
O0,mlp,4,ttc,2,0.2,0.3,16549,0.2471232827325351,0.275001510665297
O0,mlp,4,ttc,3,0.3,0.4,11609,0.3462166542646055,0.3666121112929623
O0,mlp,4,ttc,4,0.4,0.5,7101,0.4446601407063912,0.423883960005633
O0,mlp,4,ttc,5,0.5,0.6000000000000001,3614,0.5434073526917338,0.4858882125069175
O0,mlp,4,ttc,6,0.6000000000000001,0.7000000000000001,1368,0.6392253842095883,0.5343567251461988
O0,mlp,4,ttc,7,0.7000000000000001,0.8,355,0.7406044170890056,0.6140845070422535
O0,mlp,4,ttc,8,0.8,0.9,178,0.8427280964476339,0.6629213483146067
O0,mlp,4,ttc,9,0.9,1.0,11,0.921907983042977,0.8181818181818182
O1,linear,0,collision,0,0.0,0.1,30908,0.0734362331771579,0.0132651740649669
O1,linear,0,collision,1,0.1,0.2,102666,0.1456091211338716,0.0708024078078429
O1,linear,0,collision,2,0.2,0.3,11600,0.2207157578935911,0.1756896551724138
O1,linear,0,collision,3,0.3,0.4,42,0.3115805160431635,0.1666666666666666
O1,linear,0,collision,4,0.4,0.5,0,,
O1,linear,0,collision,5,0.5,0.6000000000000001,0,,
O1,linear,0,collision,6,0.6000000000000001,0.7000000000000001,0,,
O1,linear,0,collision,7,0.7000000000000001,0.8,0,,
O1,linear,0,collision,8,0.8,0.9,0,,
O1,linear,0,collision,9,0.9,1.0,0,,
O1,linear,0,ttc,0,0.0,0.1,21288,0.0604611039700748,0.0534103720405862
O1,linear,0,ttc,1,0.1,0.2,68735,0.1558031766262628,0.1219466065323343
O1,linear,0,ttc,2,0.2,0.3,48718,0.2364443147603091,0.2164908247465002
O1,linear,0,ttc,3,0.3,0.4,5840,0.3350887762969487,0.3236301369863014
O1,linear,0,ttc,4,0.4,0.5,587,0.4311716582442061,0.4633730834752981
O1,linear,0,ttc,5,0.5,0.6000000000000001,48,0.5220702576140562,0.4375
O1,linear,0,ttc,6,0.6000000000000001,0.7000000000000001,0,,
O1,linear,0,ttc,7,0.7000000000000001,0.8,0,,
O1,linear,0,ttc,8,0.8,0.9,0,,
O1,linear,0,ttc,9,0.9,1.0,0,,
O1,linear,1,collision,0,0.0,0.1,28547,0.0734320027329857,0.0120853329596805
O1,linear,1,collision,1,0.1,0.2,103349,0.1458969206659049,0.0772140997977725
O1,linear,1,collision,2,0.2,0.3,13285,0.2214309350289839,0.150470455400828
O1,linear,1,collision,3,0.3,0.4,19,0.3059220110115252,0.2105263157894736
O1,linear,1,collision,4,0.4,0.5,0,,
O1,linear,1,collision,5,0.5,0.6000000000000001,0,,
O1,linear,1,collision,6,0.6000000000000001,0.7000000000000001,0,,
O1,linear,1,collision,7,0.7000000000000001,0.8,0,,
O1,linear,1,collision,8,0.8,0.9,0,,
O1,linear,1,collision,9,0.9,1.0,0,,
O1,linear,1,ttc,0,0.0,0.1,18358,0.0574265085881368,0.0391654864364309
O1,linear,1,ttc,1,0.1,0.2,68488,0.157248475049929,0.1199334189931082
O1,linear,1,ttc,2,0.2,0.3,52476,0.2363712633076474,0.2330970348349721
O1,linear,1,ttc,3,0.3,0.4,5485,0.33124004851283,0.3161349134001823
O1,linear,1,ttc,4,0.4,0.5,391,0.4291530230923382,0.4322250639386189
O1,linear,1,ttc,5,0.5,0.6000000000000001,2,0.5209969282150269,0.0
O1,linear,1,ttc,6,0.6000000000000001,0.7000000000000001,0,,
O1,linear,1,ttc,7,0.7000000000000001,0.8,0,,
O1,linear,1,ttc,8,0.8,0.9,0,,
O1,linear,1,ttc,9,0.9,1.0,0,,
O1,linear,2,collision,0,0.0,0.1,27824,0.0736099927411819,0.0137291546866014
O1,linear,2,collision,1,0.1,0.2,107006,0.1469595687108395,0.0857522008111694
O1,linear,2,collision,2,0.2,0.3,10308,0.2207000718217489,0.1818975552968568
O1,linear,2,collision,3,0.3,0.4,78,0.3137999291603381,0.0384615384615384
O1,linear,2,collision,4,0.4,0.5,0,,
O1,linear,2,collision,5,0.5,0.6000000000000001,0,,
O1,linear,2,collision,6,0.6000000000000001,0.7000000000000001,0,,
O1,linear,2,collision,7,0.7000000000000001,0.8,0,,
O1,linear,2,collision,8,0.8,0.9,0,,
O1,linear,2,collision,9,0.9,1.0,0,,
O1,linear,2,ttc,0,0.0,0.1,19363,0.0577565854632003,0.0471517843309404
O1,linear,2,ttc,1,0.1,0.2,63717,0.1579177504792454,0.1190734027025754
O1,linear,2,ttc,2,0.2,0.3,56417,0.2361467207987014,0.246007409114274
O1,linear,2,ttc,3,0.3,0.4,5117,0.3329930543398657,0.33359390267735
O1,linear,2,ttc,4,0.4,0.5,564,0.4302394684430555,0.4450354609929078
O1,linear,2,ttc,5,0.5,0.6000000000000001,38,0.5195973625308589,0.3157894736842105
O1,linear,2,ttc,6,0.6000000000000001,0.7000000000000001,0,,
O1,linear,2,ttc,7,0.7000000000000001,0.8,0,,
O1,linear,2,ttc,8,0.8,0.9,0,,
O1,linear,2,ttc,9,0.9,1.0,0,,
O1,linear,3,collision,0,0.0,0.1,27104,0.0719031753750939,0.0147210743801652
O1,linear,3,collision,1,0.1,0.2,99949,0.1502503587911423,0.0700257131136879
O1,linear,3,collision,2,0.2,0.3,17969,0.2230978637678315,0.153430908787356
O1,linear,3,collision,3,0.3,0.4,178,0.3180724728978082,0.1573033707865168
O1,linear,3,collision,4,0.4,0.5,0,,
O1,linear,3,collision,5,0.5,0.6000000000000001,0,,
O1,linear,3,collision,6,0.6000000000000001,0.7000000000000001,0,,
O1,linear,3,collision,7,0.7000000000000001,0.8,0,,
O1,linear,3,collision,8,0.8,0.9,0,,
O1,linear,3,collision,9,0.9,1.0,0,,
O1,linear,3,ttc,0,0.0,0.1,17344,0.0594169539494791,0.0564460332103321
O1,linear,3,ttc,1,0.1,0.2,63243,0.1580543138518329,0.1120914567620131
O1,linear,3,ttc,2,0.2,0.3,58343,0.2379313986763462,0.226779562243971
O1,linear,3,ttc,3,0.3,0.4,5885,0.3299483150370362,0.3381478334749362
O1,linear,3,ttc,4,0.4,0.5,379,0.4236619065965386,0.3245382585751979
O1,linear,3,ttc,5,0.5,0.6000000000000001,6,0.508360763390859,0.6666666666666666
O1,linear,3,ttc,6,0.6000000000000001,0.7000000000000001,0,,
O1,linear,3,ttc,7,0.7000000000000001,0.8,0,,
O1,linear,3,ttc,8,0.8,0.9,0,,
O1,linear,3,ttc,9,0.9,1.0,0,,
O1,linear,4,collision,0,0.0,0.1,31897,0.0728522419949534,0.011631187886008
O1,linear,4,collision,1,0.1,0.2,103637,0.1449725209837895,0.0720978029082277
O1,linear,4,collision,2,0.2,0.3,9568,0.2202930630303072,0.1537416387959866
O1,linear,4,collision,3,0.3,0.4,98,0.3164433961620136,0.173469387755102
O1,linear,4,collision,4,0.4,0.5,0,,
O1,linear,4,collision,5,0.5,0.6000000000000001,0,,
O1,linear,4,collision,6,0.6000000000000001,0.7000000000000001,0,,
O1,linear,4,collision,7,0.7000000000000001,0.8,0,,
O1,linear,4,collision,8,0.8,0.9,0,,
O1,linear,4,collision,9,0.9,1.0,0,,
O1,linear,4,ttc,0,0.0,0.1,18219,0.0600501910391471,0.0413304791700971
O1,linear,4,ttc,1,0.1,0.2,71348,0.1558927603548624,0.1109071032124236
O1,linear,4,ttc,2,0.2,0.3,49773,0.2363291566721189,0.230144857653748
O1,linear,4,ttc,3,0.3,0.4,5401,0.3333595208251196,0.3284576930198111
O1,linear,4,ttc,4,0.4,0.5,457,0.420075884793989,0.4507658643326039
O1,linear,4,ttc,5,0.5,0.6000000000000001,2,0.5041425228118896,0.0
O1,linear,4,ttc,6,0.6000000000000001,0.7000000000000001,0,,
O1,linear,4,ttc,7,0.7000000000000001,0.8,0,,
O1,linear,4,ttc,8,0.8,0.9,0,,
O1,linear,4,ttc,9,0.9,1.0,0,,
O1,mlp,0,collision,0,0.0,0.1,109716,0.0320107119648281,0.0222210069634328
O1,mlp,0,collision,1,0.1,0.2,17524,0.1406582298079967,0.1071673133987674
O1,mlp,0,collision,2,0.2,0.3,7301,0.2447193893928623,0.1910697164771949
O1,mlp,0,collision,3,0.3,0.4,4238,0.3460615124903292,0.2730061349693251
O1,mlp,0,collision,4,0.4,0.5,2625,0.4467926549003237,0.3611428571428571
O1,mlp,0,collision,5,0.5,0.6000000000000001,1828,0.5460875904925282,0.4332603938730853
O1,mlp,0,collision,6,0.6000000000000001,0.7000000000000001,1088,0.6458346382440889,0.515625
O1,mlp,0,collision,7,0.7000000000000001,0.8,570,0.7448853897420984,0.5859649122807018
O1,mlp,0,collision,8,0.8,0.9,252,0.844174637680962,0.6547619047619048
O1,mlp,0,collision,9,0.9,1.0,74,0.932033765960384,0.7567567567567568
O1,mlp,0,ttc,0,0.0,0.1,69360,0.048932681590761,0.0493079584775086
O1,mlp,0,ttc,1,0.1,0.2,34917,0.1421619595914279,0.1216885757653864
O1,mlp,0,ttc,2,0.2,0.3,15088,0.2445761307161439,0.2134809119830328
O1,mlp,0,ttc,3,0.3,0.4,8809,0.346312215297362,0.299466454762175
O1,mlp,0,ttc,4,0.4,0.5,5822,0.4467723442747682,0.3929920989350738
O1,mlp,0,ttc,5,0.5,0.6000000000000001,4183,0.5468651661028168,0.4876882620129094
O1,mlp,0,ttc,6,0.6000000000000001,0.7000000000000001,3193,0.6474875286198171,0.554337613529596
O1,mlp,0,ttc,7,0.7000000000000001,0.8,2230,0.746980238388472,0.6556053811659193
O1,mlp,0,ttc,8,0.8,0.9,1231,0.8426848720187196,0.6994313566206336
O1,mlp,0,ttc,9,0.9,1.0,383,0.927828457274574,0.783289817232376
O1,mlp,1,collision,0,0.0,0.1,108259,0.0325937195351985,0.0234899638829104
O1,mlp,1,collision,1,0.1,0.2,18321,0.1410430747791771,0.1175700016374652
O1,mlp,1,collision,2,0.2,0.3,7809,0.2446625098034611,0.2130874631835062
O1,mlp,1,collision,3,0.3,0.4,4438,0.3457450206656346,0.3005858494817485
O1,mlp,1,collision,4,0.4,0.5,2653,0.4456049136247358,0.3543158688277422
O1,mlp,1,collision,5,0.5,0.6000000000000001,1785,0.5460593111708718,0.403921568627451
O1,mlp,1,collision,6,0.6000000000000001,0.7000000000000001,1085,0.6469265696639839,0.4608294930875576
O1,mlp,1,collision,7,0.7000000000000001,0.8,570,0.7429572219388527,0.5385964912280702
O1,mlp,1,collision,8,0.8,0.9,230,0.8392035378062207,0.6173913043478261
O1,mlp,1,collision,9,0.9,1.0,50,0.9331187844276428,0.46
O1,mlp,1,ttc,0,0.0,0.1,68180,0.0489572606761723,0.0453212085655617
O1,mlp,1,ttc,1,0.1,0.2,34519,0.1431453224854195,0.1236130826501347
O1,mlp,1,ttc,2,0.2,0.3,15771,0.2449677564228777,0.2332128590450827
O1,mlp,1,ttc,3,0.3,0.4,9256,0.3461132593897261,0.324114088159032
O1,mlp,1,ttc,4,0.4,0.5,6071,0.4476169154398957,0.418876626585406
O1,mlp,1,ttc,5,0.5,0.6000000000000001,4315,0.5467680082674788,0.4811123986095017
O1,mlp,1,ttc,6,0.6000000000000001,0.7000000000000001,3142,0.6466351044853351,0.571928707829408
O1,mlp,1,ttc,7,0.7000000000000001,0.8,2212,0.7453903685749979,0.6283905967450272
O1,mlp,1,ttc,8,0.8,0.9,1351,0.845012691089791,0.6861584011843079
O1,mlp,1,ttc,9,0.9,1.0,383,0.9302122910402464,0.783289817232376
O1,mlp,2,collision,0,0.0,0.1,113270,0.0307590548591813,0.0287543038756952
O1,mlp,2,collision,1,0.1,0.2,16608,0.1406104053699937,0.153118978805395
O1,mlp,2,collision,2,0.2,0.3,6792,0.2441049195624212,0.2666372202591284
O1,mlp,2,collision,3,0.3,0.4,3776,0.3456855111092455,0.3712923728813559
O1,mlp,2,collision,4,0.4,0.5,2266,0.4463114881820628,0.4523389232127096
O1,mlp,2,collision,5,0.5,0.6000000000000001,1307,0.5461037863094386,0.521805661820964
O1,mlp,2,collision,6,0.6000000000000001,0.7000000000000001,750,0.6447499258518219,0.5746666666666667
O1,mlp,2,collision,7,0.7000000000000001,0.8,330,0.7400718103755605,0.6393939393939394
O1,mlp,2,collision,8,0.8,0.9,96,0.8380350973457098,0.6458333333333334
O1,mlp,2,collision,9,0.9,1.0,21,0.9315790647552128,0.5714285714285714
O1,mlp,2,ttc,0,0.0,0.1,75731,0.0470656699967082,0.0501379884063329
O1,mlp,2,ttc,1,0.1,0.2,33604,0.1419378069553463,0.1535829067968099
O1,mlp,2,ttc,2,0.2,0.3,14292,0.244163939285697,0.2903722362160649
O1,mlp,2,ttc,3,0.3,0.4,7907,0.3455594805726152,0.4017958770709497
O1,mlp,2,ttc,4,0.4,0.5,5144,0.4470471883856026,0.5077760497667185
O1,mlp,2,ttc,5,0.5,0.6000000000000001,3499,0.5471942785059462,0.5701629036867677
O1,mlp,2,ttc,6,0.6000000000000001,0.7000000000000001,2512,0.6476461969932933,0.6421178343949044
O1,mlp,2,ttc,7,0.7000000000000001,0.8,1617,0.7461632696212481,0.7043908472479901
O1,mlp,2,ttc,8,0.8,0.9,765,0.8426536962876912,0.7594771241830065
