log_name,fold,baseline_selected_official_score_selected16,random_expected_official_score_selected16,oracle_best_official_score_selected16,baseline_top1_regret_selected16,baseline_selected_collision_free,baseline_selected_ttc,baseline_selected_dac,baseline_selected_ddc,baseline_selected_progress,baseline_selected_comfort,scene_count,predicted_model_status
2021.05.12.23.36.44_veh-35_00712_00774,1,0.9773921145690003,0.9555042345759557,1.0,0.02260788543099962,1.0,1.0,1.0,1.0,0.9457410749656009,1.0,2,NOT_RUN_GATE_C1
2021.05.12.23.36.44_veh-35_00785_01041,0,0.9630349987518894,0.8606182222046195,0.9673235183038864,0.004288519551996994,1.0,1.0,1.0,1.0,0.9112839970045348,1.0,2,NOT_RUN_GATE_C1
2021.05.12.23.36.44_veh-35_01133_01535,0,1.0,0.9954835327842078,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.05.12.23.36.44_veh-35_01585_01724,0,0.9611054288998415,0.8714157886494589,1.0,0.03889457110015854,1.0,1.0,1.0,1.0,0.9066530293596193,1.0,2,NOT_RUN_GATE_C1
2021.05.12.23.36.44_veh-35_01735_01957,2,0.9928037742211338,0.7909029350654688,0.9974026395888678,0.0045988653677340174,1.0,1.0,1.0,1.0,0.9827290581307211,1.0,2,NOT_RUN_GATE_C1
2021.05.12.23.36.44_veh-35_02035_02387,1,1.0,0.8751382049692848,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.07.11.59.52_veh-35_02283_02464,4,0.9955411154321145,0.9725469153809356,1.0,0.004458884567885402,1.0,1.0,1.0,1.0,0.9892986770370752,1.0,2,NOT_RUN_GATE_C1
2021.06.07.12.42.11_veh-38_01777_02078,4,1.0,0.7269886416357172,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.07.12.42.11_veh-38_02445_02843,0,0.4795635156377296,0.45143398928351436,0.5,0.020436484362270413,1.0,1.0,0.5,1.0,0.4509524375305509,1.0,2,NOT_RUN_GATE_C1
2021.06.07.12.42.11_veh-38_03254_03455,2,0.9901777392414388,0.5986414560504847,1.0,0.009822260758561185,1.0,1.0,1.0,1.0,0.9764265741794532,1.0,2,NOT_RUN_GATE_C1
2021.06.07.12.54.00_veh-35_01843_02314,2,0.9632896559326696,0.7650116998245509,0.9650698712091395,0.001780215276469821,1.0,1.0,1.0,1.0,0.9118951742384072,1.0,2,NOT_RUN_GATE_C1
2021.06.07.13.53.57_veh-35_01772_02032,4,0.9732006717372379,0.7952464422665249,1.0,0.026799328262762157,1.0,1.0,1.0,1.0,0.9356816121693707,1.0,2,NOT_RUN_GATE_C1
2021.06.07.13.53.57_veh-35_02489_03145,1,1.0,0.9415015472540202,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.07.17.46.49_veh-35_02607_03120,2,0.9665539835251753,0.864537195193474,0.9688583361766738,0.0023043526514985313,1.0,1.0,1.0,1.0,0.9197295604604205,1.0,2,NOT_RUN_GATE_C1
2021.06.07.17.46.49_veh-35_04084_04828,3,1.0,0.9386490398525599,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.07.17.46.49_veh-35_04839_05184,2,0.9827305787421665,0.9391496637560452,0.989286076538906,0.006555497796739473,1.0,1.0,1.0,1.0,0.9585533889811997,1.0,2,NOT_RUN_GATE_C1
2021.06.07.17.48.02_veh-38_01949_02085,0,1.0,0.9970162300859466,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.07.18.53.26_veh-26_00005_00427,2,1.0,0.9742354655358063,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.07.18.53.26_veh-26_01208_01412,3,1.0,0.939753012501181,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.07.19.29.59_veh-38_00474_00922,4,0.7916666666666667,0.8102245706884822,1.0,0.20833333333333331,1.0,0.5,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.07.19.29.59_veh-38_01025_01274,4,1.0,0.9984073408685099,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.07.19.43.00_veh-35_01782_01986,4,1.0,0.8567708333333334,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.07.19.43.00_veh-35_02298_02525,3,0.9307366963321448,0.7488443723728144,0.9589036287733766,0.028166932441231862,1.0,1.0,1.0,1.0,0.8337680711971476,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.00.19_veh-35_01722_02119,4,1.0,0.9750762045737975,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.00.19_veh-35_02135_02369,4,0.9836070943229516,0.9230888605173504,0.9989480814467988,0.015340987123847238,1.0,1.0,1.0,1.0,0.9606570263750838,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.00.19_veh-35_02988_03160,1,0.9431825611741915,0.936822591807589,1.0,0.05681743882580853,1.0,1.0,1.0,1.0,0.8636381468180594,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.00.19_veh-35_03451_03644,3,0.9583476131300528,0.7721205932235286,0.9892870187220801,0.030939405592027236,1.0,1.0,1.0,1.0,0.9000342715121269,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.00.19_veh-35_03655_03792,0,1.0,0.9718212444215529,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.00.19_veh-35_04422_04725,3,1.0,0.9624487213123568,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.00.19_veh-35_05235_05578,4,0.9914774920448033,0.8691434141360665,1.0,0.008522507955196768,1.0,1.0,1.0,1.0,0.9795459809075278,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.54.54_veh-26_00015_00507,0,1.0,0.9874590816906355,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.54.54_veh-26_00733_00983,4,0.9056363219714127,0.8765701540370643,1.0,0.09436367802858725,1.0,1.0,1.0,1.0,0.7735271727313906,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.54.54_veh-26_01289_01417,3,0.9874065822690796,0.9488689260826013,1.0,0.012593417730920431,1.0,1.0,1.0,1.0,0.9697757974457909,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.54.54_veh-26_02323_02479,1,0.9941005108650249,0.7639483265011432,1.0,0.005899489134975067,1.0,1.0,1.0,1.0,0.9858412260760598,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.54.54_veh-26_02994_03970,3,1.0,0.7615027595360209,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.12.54.54_veh-26_04262_04732,4,1.0,0.8663560547744245,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.14.14.51_veh-35_00893_01188,1,0.9742068276638152,0.7903688369929178,1.0,0.025793172336184778,1.0,1.0,1.0,1.0,0.9380963863931566,1.0,2,NOT_RUN_GATE_C1
2021.06.08.14.14.51_veh-35_01508_01763,1,0.9853257451254143,0.9190343366176978,1.0,0.014674254874585735,1.0,1.0,1.0,1.0,0.9647817883009944,1.0,2,NOT_RUN_GATE_C1
2021.06.08.14.35.24_veh-26_01989_02235,1,0.7486412381234308,0.7045346865010671,1.0,0.25135876187656925,1.0,0.5,1.0,1.0,0.8967389714962339,1.0,2,NOT_RUN_GATE_C1
2021.06.08.14.35.24_veh-26_02555_03004,1,0.9570060682782091,0.7718225723973775,1.0,0.042993931721790835,1.0,1.0,1.0,1.0,0.8968145638677021,1.0,2,NOT_RUN_GATE_C1
2021.06.08.14.36.49_veh-38_00312_00694,2,1.0,0.7288367193427887,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.16.31.33_veh-38_00015_00262,2,1.0,0.9669304640873093,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.16.31.33_veh-38_01589_02072,1,0.9353854896463261,0.8963875799639247,1.0,0.06461451035367394,1.0,1.0,1.0,0.75,0.8449251751511825,1.0,2,NOT_RUN_GATE_C1
2021.06.08.16.31.33_veh-38_03406_03605,0,0.9569004988579392,0.6938225937920598,0.9761443000441608,0.019243801186221543,1.0,1.0,1.0,1.0,0.8965611972590539,1.0,2,NOT_RUN_GATE_C1
2021.06.08.17.25.03_veh-35_02448_02655,3,1.0,0.9947916666666667,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.17.25.03_veh-35_03522_03716,4,1.0,0.9939351887265895,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.17.36.50_veh-26_03873_04225,1,0.9526853405209199,0.937124233689305,1.0,0.047314659479080146,1.0,1.0,1.0,1.0,0.8864448172502077,1.0,2,NOT_RUN_GATE_C1
2021.06.08.17.36.50_veh-26_05134_05378,1,1.0,0.83084581771548,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.18.18.30_veh-38_01241_01417,4,1.0,0.9163658822462625,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.18.18.30_veh-38_05578_05988,3,0.9991724618742479,0.9502449056681012,1.0,0.000827538125752092,1.0,1.0,1.0,1.0,0.9980139084981949,1.0,2,NOT_RUN_GATE_C1
2021.06.08.18.18.30_veh-38_06017_06142,2,1.0,0.9226915624650577,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.08.18.59.48_veh-12_01276_01459,1,0.9781479419491428,0.9213392059431859,0.9984453832644558,0.020297441315313025,1.0,1.0,1.0,1.0,0.9475550606779424,1.0,2,NOT_RUN_GATE_C1
2021.06.08.18.59.48_veh-12_02116_02247,0,0.984291115787217,0.912056955825472,1.0,0.015708884212782992,1.0,1.0,1.0,1.0,0.9622986778893208,1.0,2,NOT_RUN_GATE_C1
2021.06.08.18.59.48_veh-12_03122_03677,3,0.9784120893713766,0.8617924085247686,0.9826434313536472,0.004231341982270542,1.0,1.0,1.0,1.0,0.9481890144913038,1.0,2,NOT_RUN_GATE_C1
2021.06.08.19.16.23_veh-26_00193_00322,3,0.8849657438324282,0.871379904774664,0.9432379595197082,0.05827221568727997,1.0,1.0,1.0,1.0,0.7239177851978276,1.0,2,NOT_RUN_GATE_C1
2021.06.08.19.16.23_veh-26_00973_01139,1,0.9669375410131373,0.9638026909559056,1.0,0.033062458986862664,1.0,1.0,1.0,1.0,0.9206500984315296,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_00015_00259,0,1.0,0.697661269297841,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_00270_00339,0,0.88632053222648,0.7067600901056775,0.9282551130405348,0.04193458081405477,1.0,1.0,1.0,1.0,0.7271692773435522,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_00361_00678,4,1.0,0.9538727753629475,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_00689_01229,3,1.0,0.9808591340890975,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_01240_01361,1,0.9664657019963254,0.9143312259348959,0.9827715848464951,0.016305882850169595,1.0,1.0,1.0,1.0,0.919517684791181,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_01403_01526,3,0.9221624563321638,0.9288880373029231,1.0,0.0778375436678363,1.0,1.0,1.0,1.0,0.813189895197193,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_01537_01628,4,1.0,0.7109560090885143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_01705_01845,0,0.9865810631816305,0.9334174291311932,0.9881069720660312,0.0015259088844007396,1.0,1.0,1.0,1.0,0.967794551635913,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_01902_02277,0,0.9909627046348073,0.9044833425003577,1.0,0.009037295365192655,1.0,1.0,1.0,1.0,0.9783104911235377,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_02288_02529,2,1.0,0.9384630840544321,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_02540_02723,4,1.0,0.9464239640364507,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_02734_02946,2,0.9832108340715815,0.9543500093771693,1.0,0.016789165928418504,1.0,1.0,1.0,1.0,0.9597060017717955,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_03121_03319,2,0.977378074029571,0.88610760800205,0.977378074029571,0.0,1.0,1.0,1.0,1.0,0.9457073776709705,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_03371_03642,1,0.989616769985979,0.8873570034950959,0.9977319807944125,0.00811521080843347,1.0,1.0,1.0,1.0,0.9750802479663496,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_03653_03902,2,0.9129740769819044,0.8772067693211509,0.9710239023061156,0.0580498253242111,1.0,1.0,1.0,1.0,0.7911377847565706,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_03917_04069,0,0.9144825998916933,0.6831805064304435,0.9472690614721917,0.03278646158049836,1.0,1.0,1.0,1.0,0.7947582397400641,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_04138_04355,3,1.0,0.9325896815965853,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_04366_04810,1,0.9785047684038275,0.9029410541508943,0.9934794291415481,0.014974660737720524,1.0,1.0,1.0,1.0,0.9484114441691862,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_04821_05096,0,0.9764045980891454,0.9270352416459231,1.0,0.02359540191085463,1.0,1.0,1.0,0.5,0.9433710354139488,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_05108_05331,2,0.9517288792645233,0.8113655116735754,0.9586364736290047,0.006907594364481462,1.0,1.0,1.0,1.0,0.8841493102348559,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_05342_05403,2,0.646643357868572,0.6874939241503921,0.8641469433829447,0.21750358551437285,1.0,0.5,1.0,0.25,0.6519440588845729,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_05414_05511,0,0.9296592060023805,0.9007924650923025,0.9774058094810074,0.047746603478626914,1.0,1.0,1.0,1.0,0.8311820944057129,1.0,2,NOT_RUN_GATE_C1
2021.06.09.11.54.15_veh-12_05543_05765,3,0.9326154640940109,0.891627294496901,1.0,0.06738453590598914,1.0,1.0,1.0,1.0,0.8382771138256262,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.06.35_veh-35_00149_00262,2,0.8867973329070274,0.7949400643006573,0.9222654687774621,0.035468135870434625,1.0,1.0,1.0,1.0,0.7283135989768661,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.06.35_veh-35_00284_00410,2,0.9970175988810692,0.9295228337863606,1.0,0.0029824011189307775,1.0,1.0,1.0,1.0,0.992842237314566,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.06.35_veh-35_00422_01112,1,0.9979430781269001,0.6495665996314491,1.0,0.002056921873099915,1.0,1.0,1.0,1.0,0.9950633875045602,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.06.35_veh-35_01164_01494,3,0.9382549867239593,0.845234048184573,1.0,0.06174501327604065,1.0,1.0,1.0,1.0,0.8518119681375024,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_00055_00360,1,0.9788417954670081,0.9184549383088167,0.992445841722613,0.013604046255604796,1.0,1.0,1.0,1.0,0.9492203091208197,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_00609_01168,0,0.9756049760910082,0.9197677715417996,1.0,0.024395023908991786,1.0,1.0,1.0,1.0,0.9414519426184198,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_01179_01338,1,0.9762340828088162,0.7893176170802834,0.9965253165509758,0.020291233742159576,1.0,1.0,1.0,1.0,0.9429617987411589,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_01653_01919,3,0.9890554170913484,0.9388337021171683,1.0,0.01094458290865169,1.0,1.0,1.0,1.0,0.9737330010192359,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_01943_02303,2,0.979801472296207,0.9101566293584922,1.0,0.0201985277037931,1.0,1.0,1.0,1.0,0.9515235335108966,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_02338_02459,0,0.9777074967429763,0.7920835830210098,1.0,0.0222925032570237,1.0,1.0,1.0,1.0,0.9464979921831431,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_02470_02648,2,1.0,0.8010769478603852,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_02729_02878,0,0.9973733625668746,0.9279671933479134,1.0,0.002626637433125467,1.0,1.0,1.0,1.0,0.9936960701604989,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_02901_02978,0,0.9722475469277008,0.9013155078053708,1.0,0.027752453072299177,1.0,1.0,1.0,1.0,0.933394112626482,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_02989_03385,2,0.9774022953634425,0.9083978190770058,1.0,0.02259770463655747,1.0,1.0,1.0,1.0,0.9457655088722621,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_03409_03722,4,0.9913201967340572,0.885964376733091,1.0,0.008679803265942754,1.0,1.0,1.0,1.0,0.9791684721617373,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_03733_03918,2,0.9686230704599326,0.838643452703117,0.9754001001960766,0.006777029736144025,1.0,1.0,1.0,1.0,0.9246953691038383,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_03951_04180,4,1.0,0.9604790890060456,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_04255_04331,3,0.9474529749208438,0.9175840683007912,0.9857161269481813,0.0382631520273376,1.0,1.0,1.0,1.0,0.873887139810025,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_04374_04513,2,1.0,0.9020946811164224,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_04543_05321,4,1.0,0.7698673695168619,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_05332_05540,0,1.0,0.8405056266093436,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.39.51_veh-26_05620_06003,1,0.9724455508624457,0.817025256233589,0.983376586731153,0.010931035868707362,1.0,1.0,1.0,1.0,0.9338693220698695,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_00007_00089,2,0.9877225695623284,0.8490484342272067,1.0,0.012277430437671544,1.0,1.0,1.0,1.0,0.9705341669495884,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_00100_00277,3,0.9725387947438766,0.9079962878715373,0.9934736009730767,0.02093480622920013,1.0,1.0,1.0,1.0,0.9340931073853039,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_00288_00529,2,0.9592115075089107,0.7700959307261152,1.0,0.04078849249108929,1.0,1.0,1.0,1.0,0.9021076180213858,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_00540_00631,2,0.9348907106008502,0.9438385791569551,1.0,0.06510928939914984,1.0,1.0,1.0,1.0,0.8437377054420403,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_00697_00820,4,0.9869017748032685,0.7683178974683622,0.9878862620695943,0.0009844872663259396,1.0,1.0,1.0,1.0,0.9685642595278441,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_00852_01020,0,1.0,0.9700564767179349,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_01047_01415,2,1.0,0.8972758349404241,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_01427_01576,4,1.0,0.9327993533632548,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_01587_01718,0,1.0,0.8286325399915557,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_01729_02626,3,1.0,0.9114583333333334,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_02677_02842,0,1.0,0.9289678733426248,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_02975_03207,1,1.0,0.8861583794473136,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_03229_03360,0,0.9484796357818335,0.7839978698417421,0.9726829351279231,0.02420329934608967,1.0,1.0,1.0,1.0,0.8763511258764001,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_03371_03476,4,0.9744275113976075,0.9536742272200087,1.0,0.02557248860239253,1.0,1.0,1.0,1.0,0.9386260273542579,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_03487_03821,4,0.9963890232702679,0.5440531092757275,1.0,0.0036109767297321516,1.0,1.0,1.0,1.0,0.9913336558486427,1.0,2,NOT_RUN_GATE_C1
2021.06.09.12.51.31_veh-35_03869_04221,1,0.97363328270252,0.944408801416196,1.0,0.02636671729747997,1.0,1.0,1.0,1.0,0.936719878486048,1.0,2,NOT_RUN_GATE_C1
