scene_token,candidate_index,factor,precomputed,recomputed,absolute_error,trajectory_hash
0fcede1cbfb15faa,30,TTC,0.0,0.0,0.0,e72f7f2f5fb4093104d310d07bf6e067f4c229187083aa9dc42a8365b1d0ae38
0fcede1cbfb15faa,30,Comfort,0.0,0.0,0.0,e72f7f2f5fb4093104d310d07bf6e067f4c229187083aa9dc42a8365b1d0ae38
0fcede1cbfb15faa,30,score,0.0,0.0,0.0,e72f7f2f5fb4093104d310d07bf6e067f4c229187083aa9dc42a8365b1d0ae38
0fcede1cbfb15faa,31,NC,0.0,0.0,0.0,48572ae6d5cfe29a0376e26477b3c3755c0399f78c84c39f08a740282a9164ff
0fcede1cbfb15faa,31,DAC,1.0,1.0,0.0,48572ae6d5cfe29a0376e26477b3c3755c0399f78c84c39f08a740282a9164ff
0fcede1cbfb15faa,31,EP,0.0,0.0,0.0,48572ae6d5cfe29a0376e26477b3c3755c0399f78c84c39f08a740282a9164ff
0fcede1cbfb15faa,31,TTC,0.0,0.0,0.0,48572ae6d5cfe29a0376e26477b3c3755c0399f78c84c39f08a740282a9164ff
0fcede1cbfb15faa,31,Comfort,1.0,1.0,0.0,48572ae6d5cfe29a0376e26477b3c3755c0399f78c84c39f08a740282a9164ff
0fcede1cbfb15faa,31,score,0.0,0.0,0.0,48572ae6d5cfe29a0376e26477b3c3755c0399f78c84c39f08a740282a9164ff
0fcede1cbfb15faa,34,NC,0.0,0.0,0.0,62cbde8b4e20fccb3dc759ca4a6fd0b99c88a02986e999d5a754afd8728e91fd
0fcede1cbfb15faa,34,DAC,1.0,1.0,0.0,62cbde8b4e20fccb3dc759ca4a6fd0b99c88a02986e999d5a754afd8728e91fd
0fcede1cbfb15faa,34,EP,0.0,0.0,0.0,62cbde8b4e20fccb3dc759ca4a6fd0b99c88a02986e999d5a754afd8728e91fd
0fcede1cbfb15faa,34,TTC,0.0,0.0,0.0,62cbde8b4e20fccb3dc759ca4a6fd0b99c88a02986e999d5a754afd8728e91fd
0fcede1cbfb15faa,34,Comfort,1.0,1.0,0.0,62cbde8b4e20fccb3dc759ca4a6fd0b99c88a02986e999d5a754afd8728e91fd
0fcede1cbfb15faa,34,score,0.0,0.0,0.0,62cbde8b4e20fccb3dc759ca4a6fd0b99c88a02986e999d5a754afd8728e91fd
0fcede1cbfb15faa,87,NC,1.0,1.0,0.0,1af6a8ca202b5483f38b3c50210767d996ff245c7ad5c1282ee7d88fa70378b1
0fcede1cbfb15faa,87,DAC,1.0,1.0,0.0,1af6a8ca202b5483f38b3c50210767d996ff245c7ad5c1282ee7d88fa70378b1
0fcede1cbfb15faa,87,EP,1.0,0.37775203585624695,0.622247964143753,1af6a8ca202b5483f38b3c50210767d996ff245c7ad5c1282ee7d88fa70378b1
0fcede1cbfb15faa,87,TTC,1.0,1.0,0.0,1af6a8ca202b5483f38b3c50210767d996ff245c7ad5c1282ee7d88fa70378b1
0fcede1cbfb15faa,87,Comfort,1.0,1.0,0.0,1af6a8ca202b5483f38b3c50210767d996ff245c7ad5c1282ee7d88fa70378b1
0fcede1cbfb15faa,87,score,0.5,0.3703650236129761,0.12963497638702393,1af6a8ca202b5483f38b3c50210767d996ff245c7ad5c1282ee7d88fa70378b1
0fcede1cbfb15faa,99,NC,0.0,0.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
0fcede1cbfb15faa,99,DAC,0.0,0.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
0fcede1cbfb15faa,99,EP,0.0,0.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
0fcede1cbfb15faa,99,TTC,0.0,0.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
0fcede1cbfb15faa,99,Comfort,1.0,1.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
0fcede1cbfb15faa,99,score,0.0,0.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
0fcede1cbfb15faa,120,NC,0.0,0.0,0.0,532a77b28b133b18fa1a7be69e61a043127081a148978d96edeea419b204eb35
0fcede1cbfb15faa,120,DAC,1.0,1.0,0.0,532a77b28b133b18fa1a7be69e61a043127081a148978d96edeea419b204eb35
0fcede1cbfb15faa,120,EP,0.0,0.0,0.0,532a77b28b133b18fa1a7be69e61a043127081a148978d96edeea419b204eb35
0fcede1cbfb15faa,120,TTC,0.0,0.0,0.0,532a77b28b133b18fa1a7be69e61a043127081a148978d96edeea419b204eb35
0fcede1cbfb15faa,120,Comfort,0.0,0.0,0.0,532a77b28b133b18fa1a7be69e61a043127081a148978d96edeea419b204eb35
0fcede1cbfb15faa,120,score,0.0,0.0,0.0,532a77b28b133b18fa1a7be69e61a043127081a148978d96edeea419b204eb35
0fcede1cbfb15faa,211,NC,0.0,0.0,0.0,436655ce64ee6dd271e23a69bf51f53b3659d4842ad7a2a183af06744d7e1755
0fcede1cbfb15faa,211,DAC,1.0,1.0,0.0,436655ce64ee6dd271e23a69bf51f53b3659d4842ad7a2a183af06744d7e1755
0fcede1cbfb15faa,211,EP,0.0,0.0,0.0,436655ce64ee6dd271e23a69bf51f53b3659d4842ad7a2a183af06744d7e1755
0fcede1cbfb15faa,211,TTC,0.0,0.0,0.0,436655ce64ee6dd271e23a69bf51f53b3659d4842ad7a2a183af06744d7e1755
0fcede1cbfb15faa,211,Comfort,0.0,0.0,0.0,436655ce64ee6dd271e23a69bf51f53b3659d4842ad7a2a183af06744d7e1755
0fcede1cbfb15faa,211,score,0.0,0.0,0.0,436655ce64ee6dd271e23a69bf51f53b3659d4842ad7a2a183af06744d7e1755
0fcede1cbfb15faa,244,NC,0.0,0.0,0.0,3a4befd4e827e4794b65fcadecd8e9e910ad7d0d993858aabce8783694f8c85e
0fcede1cbfb15faa,244,DAC,1.0,1.0,0.0,3a4befd4e827e4794b65fcadecd8e9e910ad7d0d993858aabce8783694f8c85e
0fcede1cbfb15faa,244,EP,0.0,0.0,0.0,3a4befd4e827e4794b65fcadecd8e9e910ad7d0d993858aabce8783694f8c85e
0fcede1cbfb15faa,244,TTC,0.0,0.0,0.0,3a4befd4e827e4794b65fcadecd8e9e910ad7d0d993858aabce8783694f8c85e
0fcede1cbfb15faa,244,Comfort,1.0,1.0,0.0,3a4befd4e827e4794b65fcadecd8e9e910ad7d0d993858aabce8783694f8c85e
0fcede1cbfb15faa,244,score,0.0,0.0,0.0,3a4befd4e827e4794b65fcadecd8e9e910ad7d0d993858aabce8783694f8c85e
281f6ff8ed715256,0,NC,0.0,0.0,0.0,804c0d7a466f5a44ab5e0375cc450e65bc941737f623963c76e4f8cebebcc8fa
281f6ff8ed715256,0,DAC,1.0,1.0,0.0,804c0d7a466f5a44ab5e0375cc450e65bc941737f623963c76e4f8cebebcc8fa
281f6ff8ed715256,0,EP,0.0,0.0,0.0,804c0d7a466f5a44ab5e0375cc450e65bc941737f623963c76e4f8cebebcc8fa
281f6ff8ed715256,0,TTC,0.0,0.0,0.0,804c0d7a466f5a44ab5e0375cc450e65bc941737f623963c76e4f8cebebcc8fa
281f6ff8ed715256,0,Comfort,0.0,0.0,0.0,804c0d7a466f5a44ab5e0375cc450e65bc941737f623963c76e4f8cebebcc8fa
281f6ff8ed715256,0,score,0.0,0.0,0.0,804c0d7a466f5a44ab5e0375cc450e65bc941737f623963c76e4f8cebebcc8fa
281f6ff8ed715256,11,NC,0.0,0.0,0.0,2a303120211cf42be2be6db1d50a72a8178464d2e4e1419ce808cddbe1ef2ad1
281f6ff8ed715256,11,DAC,1.0,1.0,0.0,2a303120211cf42be2be6db1d50a72a8178464d2e4e1419ce808cddbe1ef2ad1
281f6ff8ed715256,11,EP,0.0,0.0,0.0,2a303120211cf42be2be6db1d50a72a8178464d2e4e1419ce808cddbe1ef2ad1
281f6ff8ed715256,11,TTC,0.0,0.0,0.0,2a303120211cf42be2be6db1d50a72a8178464d2e4e1419ce808cddbe1ef2ad1
281f6ff8ed715256,11,Comfort,1.0,1.0,0.0,2a303120211cf42be2be6db1d50a72a8178464d2e4e1419ce808cddbe1ef2ad1
281f6ff8ed715256,11,score,0.0,0.0,0.0,2a303120211cf42be2be6db1d50a72a8178464d2e4e1419ce808cddbe1ef2ad1
281f6ff8ed715256,18,NC,0.0,0.0,0.0,38c56b73492a4780b99fde5253e55f62416c4ad893d8c9f4f9f146f3cd3828dc
281f6ff8ed715256,18,DAC,1.0,1.0,0.0,38c56b73492a4780b99fde5253e55f62416c4ad893d8c9f4f9f146f3cd3828dc
281f6ff8ed715256,18,EP,0.0,0.0,0.0,38c56b73492a4780b99fde5253e55f62416c4ad893d8c9f4f9f146f3cd3828dc
281f6ff8ed715256,18,TTC,0.0,0.0,0.0,38c56b73492a4780b99fde5253e55f62416c4ad893d8c9f4f9f146f3cd3828dc
281f6ff8ed715256,18,Comfort,1.0,1.0,0.0,38c56b73492a4780b99fde5253e55f62416c4ad893d8c9f4f9f146f3cd3828dc
281f6ff8ed715256,18,score,0.0,0.0,0.0,38c56b73492a4780b99fde5253e55f62416c4ad893d8c9f4f9f146f3cd3828dc
281f6ff8ed715256,20,NC,0.0,0.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
281f6ff8ed715256,20,DAC,0.0,0.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
281f6ff8ed715256,20,EP,0.0,0.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
281f6ff8ed715256,20,TTC,0.0,0.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
281f6ff8ed715256,20,Comfort,0.0,0.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
281f6ff8ed715256,20,score,0.0,0.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
281f6ff8ed715256,44,NC,0.0,0.0,0.0,bda85fe6d920adb827c1482dd0028353959ef62483cee549398c4c4fe0ec8e69
281f6ff8ed715256,44,DAC,1.0,1.0,0.0,bda85fe6d920adb827c1482dd0028353959ef62483cee549398c4c4fe0ec8e69
281f6ff8ed715256,44,EP,0.0,0.0,0.0,bda85fe6d920adb827c1482dd0028353959ef62483cee549398c4c4fe0ec8e69
281f6ff8ed715256,44,TTC,0.0,0.0,0.0,bda85fe6d920adb827c1482dd0028353959ef62483cee549398c4c4fe0ec8e69
281f6ff8ed715256,44,Comfort,1.0,1.0,0.0,bda85fe6d920adb827c1482dd0028353959ef62483cee549398c4c4fe0ec8e69
281f6ff8ed715256,44,score,0.0,0.0,0.0,bda85fe6d920adb827c1482dd0028353959ef62483cee549398c4c4fe0ec8e69
281f6ff8ed715256,127,NC,1.0,1.0,0.0,2c9ab34b8325aabb6cbb5b3b96dc6adfeb0f379ef0af797ed5791908e59a77bb
281f6ff8ed715256,127,DAC,1.0,1.0,0.0,2c9ab34b8325aabb6cbb5b3b96dc6adfeb0f379ef0af797ed5791908e59a77bb
281f6ff8ed715256,127,EP,0.2228904515504837,0.2228904515504837,0.0,2c9ab34b8325aabb6cbb5b3b96dc6adfeb0f379ef0af797ed5791908e59a77bb
281f6ff8ed715256,127,TTC,1.0,1.0,0.0,2c9ab34b8325aabb6cbb5b3b96dc6adfeb0f379ef0af797ed5791908e59a77bb
281f6ff8ed715256,127,Comfort,1.0,1.0,0.0,2c9ab34b8325aabb6cbb5b3b96dc6adfeb0f379ef0af797ed5791908e59a77bb
281f6ff8ed715256,127,score,0.6762043833732605,0.6762043833732605,0.0,2c9ab34b8325aabb6cbb5b3b96dc6adfeb0f379ef0af797ed5791908e59a77bb
281f6ff8ed715256,139,NC,1.0,1.0,0.0,147ef70025de278586d5373f92a8a6ae8fbe1bfe518bcc1ebfd726d8e743a9f3
281f6ff8ed715256,139,DAC,1.0,1.0,0.0,147ef70025de278586d5373f92a8a6ae8fbe1bfe518bcc1ebfd726d8e743a9f3
281f6ff8ed715256,139,EP,0.2570856213569641,0.2570856213569641,0.0,147ef70025de278586d5373f92a8a6ae8fbe1bfe518bcc1ebfd726d8e743a9f3
281f6ff8ed715256,139,TTC,1.0,1.0,0.0,147ef70025de278586d5373f92a8a6ae8fbe1bfe518bcc1ebfd726d8e743a9f3
281f6ff8ed715256,139,Comfort,1.0,1.0,0.0,147ef70025de278586d5373f92a8a6ae8fbe1bfe518bcc1ebfd726d8e743a9f3
281f6ff8ed715256,139,score,0.6904523372650146,0.6904523372650146,0.0,147ef70025de278586d5373f92a8a6ae8fbe1bfe518bcc1ebfd726d8e743a9f3
281f6ff8ed715256,207,NC,0.0,0.0,0.0,771e50c7ca68ac9153ba7315e0a0bf976861a93d235ba870b19abf688872d325
281f6ff8ed715256,207,DAC,1.0,1.0,0.0,771e50c7ca68ac9153ba7315e0a0bf976861a93d235ba870b19abf688872d325
281f6ff8ed715256,207,EP,0.0,0.0,0.0,771e50c7ca68ac9153ba7315e0a0bf976861a93d235ba870b19abf688872d325
281f6ff8ed715256,207,TTC,0.0,0.0,0.0,771e50c7ca68ac9153ba7315e0a0bf976861a93d235ba870b19abf688872d325
281f6ff8ed715256,207,Comfort,1.0,1.0,0.0,771e50c7ca68ac9153ba7315e0a0bf976861a93d235ba870b19abf688872d325
281f6ff8ed715256,207,score,0.0,0.0,0.0,771e50c7ca68ac9153ba7315e0a0bf976861a93d235ba870b19abf688872d325
281f6ff8ed715256,234,NC,0.0,0.0,0.0,e2b6b0490e2ff214ac713e6a862c3cbb2e80c5cb27fee08864558c13c8c75bbf
281f6ff8ed715256,234,DAC,1.0,1.0,0.0,e2b6b0490e2ff214ac713e6a862c3cbb2e80c5cb27fee08864558c13c8c75bbf
281f6ff8ed715256,234,EP,0.0,0.0,0.0,e2b6b0490e2ff214ac713e6a862c3cbb2e80c5cb27fee08864558c13c8c75bbf
281f6ff8ed715256,234,TTC,0.0,0.0,0.0,e2b6b0490e2ff214ac713e6a862c3cbb2e80c5cb27fee08864558c13c8c75bbf
281f6ff8ed715256,234,Comfort,1.0,1.0,0.0,e2b6b0490e2ff214ac713e6a862c3cbb2e80c5cb27fee08864558c13c8c75bbf
281f6ff8ed715256,234,score,0.0,0.0,0.0,e2b6b0490e2ff214ac713e6a862c3cbb2e80c5cb27fee08864558c13c8c75bbf
281f6ff8ed715256,238,NC,0.0,0.0,0.0,6d22d41cbdb5b5ff73d29c358c83a975a2684b741ffabe600cf178dc7e1e62d4
281f6ff8ed715256,238,DAC,1.0,1.0,0.0,6d22d41cbdb5b5ff73d29c358c83a975a2684b741ffabe600cf178dc7e1e62d4
281f6ff8ed715256,238,EP,0.0,0.0,0.0,6d22d41cbdb5b5ff73d29c358c83a975a2684b741ffabe600cf178dc7e1e62d4
281f6ff8ed715256,238,TTC,0.0,0.0,0.0,6d22d41cbdb5b5ff73d29c358c83a975a2684b741ffabe600cf178dc7e1e62d4
281f6ff8ed715256,238,Comfort,1.0,1.0,0.0,6d22d41cbdb5b5ff73d29c358c83a975a2684b741ffabe600cf178dc7e1e62d4
281f6ff8ed715256,238,score,0.0,0.0,0.0,6d22d41cbdb5b5ff73d29c358c83a975a2684b741ffabe600cf178dc7e1e62d4
41f1d3b5067d58c1,1,NC,0.0,0.0,0.0,8620e9e0a7cf59ba33eab1dacb92a774a8a392bc9544b64dbbde5c2e0c2a5b78
41f1d3b5067d58c1,1,DAC,1.0,1.0,0.0,8620e9e0a7cf59ba33eab1dacb92a774a8a392bc9544b64dbbde5c2e0c2a5b78
41f1d3b5067d58c1,1,EP,0.0,0.0,0.0,8620e9e0a7cf59ba33eab1dacb92a774a8a392bc9544b64dbbde5c2e0c2a5b78
41f1d3b5067d58c1,1,TTC,0.0,0.0,0.0,8620e9e0a7cf59ba33eab1dacb92a774a8a392bc9544b64dbbde5c2e0c2a5b78
41f1d3b5067d58c1,1,Comfort,1.0,1.0,0.0,8620e9e0a7cf59ba33eab1dacb92a774a8a392bc9544b64dbbde5c2e0c2a5b78
41f1d3b5067d58c1,1,score,0.0,0.0,0.0,8620e9e0a7cf59ba33eab1dacb92a774a8a392bc9544b64dbbde5c2e0c2a5b78
41f1d3b5067d58c1,23,NC,0.0,0.0,0.0,1108530051e1e400711b1b3c6d00e01b30154828f2f1cbf20e491658dbb04aca
41f1d3b5067d58c1,23,DAC,1.0,1.0,0.0,1108530051e1e400711b1b3c6d00e01b30154828f2f1cbf20e491658dbb04aca
41f1d3b5067d58c1,23,EP,0.0,0.0,0.0,1108530051e1e400711b1b3c6d00e01b30154828f2f1cbf20e491658dbb04aca
41f1d3b5067d58c1,23,TTC,0.0,0.0,0.0,1108530051e1e400711b1b3c6d00e01b30154828f2f1cbf20e491658dbb04aca
41f1d3b5067d58c1,23,Comfort,1.0,1.0,0.0,1108530051e1e400711b1b3c6d00e01b30154828f2f1cbf20e491658dbb04aca
41f1d3b5067d58c1,23,score,0.0,0.0,0.0,1108530051e1e400711b1b3c6d00e01b30154828f2f1cbf20e491658dbb04aca
41f1d3b5067d58c1,36,NC,0.0,0.0,0.0,93277bb06978ece1f19f9e0b49301d661aa6b4b9796ee37aad9a3f94e8cb54e7
41f1d3b5067d58c1,36,DAC,1.0,1.0,0.0,93277bb06978ece1f19f9e0b49301d661aa6b4b9796ee37aad9a3f94e8cb54e7
41f1d3b5067d58c1,36,EP,0.0,0.0,0.0,93277bb06978ece1f19f9e0b49301d661aa6b4b9796ee37aad9a3f94e8cb54e7
41f1d3b5067d58c1,36,TTC,0.0,0.0,0.0,93277bb06978ece1f19f9e0b49301d661aa6b4b9796ee37aad9a3f94e8cb54e7
41f1d3b5067d58c1,36,Comfort,1.0,1.0,0.0,93277bb06978ece1f19f9e0b49301d661aa6b4b9796ee37aad9a3f94e8cb54e7
41f1d3b5067d58c1,36,score,0.0,0.0,0.0,93277bb06978ece1f19f9e0b49301d661aa6b4b9796ee37aad9a3f94e8cb54e7
41f1d3b5067d58c1,42,NC,0.0,0.0,0.0,01ac3dec908b5fbcc6b3fbca509ce31801d38257e017fe83719250e82ceac21d
41f1d3b5067d58c1,42,DAC,1.0,1.0,0.0,01ac3dec908b5fbcc6b3fbca509ce31801d38257e017fe83719250e82ceac21d
41f1d3b5067d58c1,42,EP,0.0,0.0,0.0,01ac3dec908b5fbcc6b3fbca509ce31801d38257e017fe83719250e82ceac21d
41f1d3b5067d58c1,42,TTC,0.0,0.0,0.0,01ac3dec908b5fbcc6b3fbca509ce31801d38257e017fe83719250e82ceac21d
41f1d3b5067d58c1,42,Comfort,1.0,1.0,0.0,01ac3dec908b5fbcc6b3fbca509ce31801d38257e017fe83719250e82ceac21d
41f1d3b5067d58c1,42,score,0.0,0.0,0.0,01ac3dec908b5fbcc6b3fbca509ce31801d38257e017fe83719250e82ceac21d
41f1d3b5067d58c1,79,NC,1.0,1.0,0.0,03610d7f369e6c8355abef15b416d774f5b7b9823be034b535d0252cb8ad7f4c
41f1d3b5067d58c1,79,DAC,1.0,1.0,0.0,03610d7f369e6c8355abef15b416d774f5b7b9823be034b535d0252cb8ad7f4c
41f1d3b5067d58c1,79,EP,0.7075933218002319,0.7075933218002319,0.0,03610d7f369e6c8355abef15b416d774f5b7b9823be034b535d0252cb8ad7f4c
41f1d3b5067d58c1,79,TTC,1.0,1.0,0.0,03610d7f369e6c8355abef15b416d774f5b7b9823be034b535d0252cb8ad7f4c
41f1d3b5067d58c1,79,Comfort,1.0,1.0,0.0,03610d7f369e6c8355abef15b416d774f5b7b9823be034b535d0252cb8ad7f4c
41f1d3b5067d58c1,79,score,0.8781638741493225,0.8781638741493225,0.0,03610d7f369e6c8355abef15b416d774f5b7b9823be034b535d0252cb8ad7f4c
41f1d3b5067d58c1,99,NC,0.0,0.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
41f1d3b5067d58c1,99,DAC,0.0,0.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
41f1d3b5067d58c1,99,EP,0.0,0.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
41f1d3b5067d58c1,99,TTC,0.0,0.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
41f1d3b5067d58c1,99,Comfort,1.0,1.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
41f1d3b5067d58c1,99,score,0.0,0.0,0.0,cb78a67476f58a70c0f45f1b7c5489419c82181876d3ee5d8a5ca32bca25e579
41f1d3b5067d58c1,117,NC,0.0,0.0,0.0,2c02ec19b96c25057979391904b92426069fc78ace213682bee6560c9077dfdd
41f1d3b5067d58c1,117,DAC,1.0,1.0,0.0,2c02ec19b96c25057979391904b92426069fc78ace213682bee6560c9077dfdd
41f1d3b5067d58c1,117,EP,0.0,0.0,0.0,2c02ec19b96c25057979391904b92426069fc78ace213682bee6560c9077dfdd
41f1d3b5067d58c1,117,TTC,0.0,0.0,0.0,2c02ec19b96c25057979391904b92426069fc78ace213682bee6560c9077dfdd
41f1d3b5067d58c1,117,Comfort,1.0,1.0,0.0,2c02ec19b96c25057979391904b92426069fc78ace213682bee6560c9077dfdd
41f1d3b5067d58c1,117,score,0.0,0.0,0.0,2c02ec19b96c25057979391904b92426069fc78ace213682bee6560c9077dfdd
41f1d3b5067d58c1,123,NC,0.0,0.0,0.0,f490872be17e263595267b27dd88f6dde93bd69b013c5c78e8554e334f6daf55
41f1d3b5067d58c1,123,DAC,1.0,1.0,0.0,f490872be17e263595267b27dd88f6dde93bd69b013c5c78e8554e334f6daf55
41f1d3b5067d58c1,123,EP,0.0,0.0,0.0,f490872be17e263595267b27dd88f6dde93bd69b013c5c78e8554e334f6daf55
41f1d3b5067d58c1,123,TTC,0.0,0.0,0.0,f490872be17e263595267b27dd88f6dde93bd69b013c5c78e8554e334f6daf55
41f1d3b5067d58c1,123,Comfort,1.0,1.0,0.0,f490872be17e263595267b27dd88f6dde93bd69b013c5c78e8554e334f6daf55
41f1d3b5067d58c1,123,score,0.0,0.0,0.0,f490872be17e263595267b27dd88f6dde93bd69b013c5c78e8554e334f6daf55
41f1d3b5067d58c1,168,NC,0.0,0.0,0.0,9d20ba65cecc5b9b046a76bcb073b241d3b19dc96c14c9d661a2530e65742e05
41f1d3b5067d58c1,168,DAC,1.0,1.0,0.0,9d20ba65cecc5b9b046a76bcb073b241d3b19dc96c14c9d661a2530e65742e05
41f1d3b5067d58c1,168,EP,0.0,0.0,0.0,9d20ba65cecc5b9b046a76bcb073b241d3b19dc96c14c9d661a2530e65742e05
41f1d3b5067d58c1,168,TTC,0.0,0.0,0.0,9d20ba65cecc5b9b046a76bcb073b241d3b19dc96c14c9d661a2530e65742e05
41f1d3b5067d58c1,168,Comfort,1.0,1.0,0.0,9d20ba65cecc5b9b046a76bcb073b241d3b19dc96c14c9d661a2530e65742e05
41f1d3b5067d58c1,168,score,0.0,0.0,0.0,9d20ba65cecc5b9b046a76bcb073b241d3b19dc96c14c9d661a2530e65742e05
41f1d3b5067d58c1,246,NC,0.0,0.0,0.0,b6a417d9e60594d838bb92f46c22fc703444187b893295daaea8a5e0d5ebb0b8
41f1d3b5067d58c1,246,DAC,1.0,1.0,0.0,b6a417d9e60594d838bb92f46c22fc703444187b893295daaea8a5e0d5ebb0b8
41f1d3b5067d58c1,246,EP,0.0,0.0,0.0,b6a417d9e60594d838bb92f46c22fc703444187b893295daaea8a5e0d5ebb0b8
41f1d3b5067d58c1,246,TTC,0.0,0.0,0.0,b6a417d9e60594d838bb92f46c22fc703444187b893295daaea8a5e0d5ebb0b8
41f1d3b5067d58c1,246,Comfort,1.0,1.0,0.0,b6a417d9e60594d838bb92f46c22fc703444187b893295daaea8a5e0d5ebb0b8
41f1d3b5067d58c1,246,score,0.0,0.0,0.0,b6a417d9e60594d838bb92f46c22fc703444187b893295daaea8a5e0d5ebb0b8
70df39aae7b05204,7,NC,0.0,0.0,0.0,3dbb22614c66eed87b908572c49938b74582fc799f3f1664da2a3351131a6a21
70df39aae7b05204,7,DAC,0.0,0.0,0.0,3dbb22614c66eed87b908572c49938b74582fc799f3f1664da2a3351131a6a21
70df39aae7b05204,7,EP,0.0,0.0,0.0,3dbb22614c66eed87b908572c49938b74582fc799f3f1664da2a3351131a6a21
70df39aae7b05204,7,TTC,0.0,0.0,0.0,3dbb22614c66eed87b908572c49938b74582fc799f3f1664da2a3351131a6a21
70df39aae7b05204,7,Comfort,1.0,1.0,0.0,3dbb22614c66eed87b908572c49938b74582fc799f3f1664da2a3351131a6a21
70df39aae7b05204,7,score,0.0,0.0,0.0,3dbb22614c66eed87b908572c49938b74582fc799f3f1664da2a3351131a6a21
70df39aae7b05204,14,NC,0.0,0.0,0.0,db13bffe2c1d20f64e6b413765cdc385c8be28352589912b4f33a4e6cd0a6bc1
70df39aae7b05204,14,DAC,0.0,0.0,0.0,db13bffe2c1d20f64e6b413765cdc385c8be28352589912b4f33a4e6cd0a6bc1
70df39aae7b05204,14,EP,0.0,0.0,0.0,db13bffe2c1d20f64e6b413765cdc385c8be28352589912b4f33a4e6cd0a6bc1
70df39aae7b05204,14,TTC,0.0,0.0,0.0,db13bffe2c1d20f64e6b413765cdc385c8be28352589912b4f33a4e6cd0a6bc1
