model_type,seed,intervention,selected_score,top1_regret,mean_selected_candidate_rank,pairwise_ranking_accuracy,kendall_tau,oracle_capture_mean,oracle_capture_median,oracle_capture_q25,oracle_capture_q75,oracle_capture_fraction_gt_0,oracle_capture_fraction_ge_0_5,hard_false_safe_rate,direction_non_compliance_rate,ddc_half_rate,ddc_zero_rate,zero_score_selection_rate,wote_failure_recovery_rate
static_primitive_effect,1,none,0.6611862182617188,0.22572854161262512,15.24609375,0.8699308635272285,0.5405505727593334,-0.8972324933656891,0.5789384841918945,0.0,0.855514645576477,0.7245508982035929,0.5668662674650699,0.12109375,0.189453125,0.1875,0.001953125,0.05859375,0.8064516129032258
static_primitive_effect,2,none,0.5401822924613953,0.3467324376106262,19.369140625,0.8682443964299145,0.5381294556630645,-0.956385746022136,0.023755129426717758,-0.04505150765180588,0.5130177736282349,0.590818363273453,0.25349301397205587,0.1015625,0.56640625,0.5546875,0.01171875,0.041015625,0.7741935483870968
shared_logged_future,0,none,0.6619337797164917,0.22498098015785217,14.587890625,0.8702267017652386,0.5408809785970143,-1.0746571594597576,0.5678503513336182,-0.0005870258319191635,0.883998692035675,0.7045908183632734,0.5469061876247505,0.140625,0.177734375,0.171875,0.005859375,0.068359375,0.7096774193548387
shared_logged_future,1,none,0.6575738191604614,0.22934085130691528,15.083984375,0.8698034717323726,0.539739349780176,-1.7335304539687595,0.5748835206031799,-0.011465612798929214,0.8694477081298828,0.7065868263473054,0.5508982035928144,0.16796875,0.146484375,0.14453125,0.001953125,0.087890625,0.7419354838709677
shared_logged_future,2,none,0.5258271098136902,0.3610876202583313,21.1328125,0.8712264770216355,0.5409518190923118,-1.0395560342156227,0.031388893723487854,-0.052734892815351486,0.48444029688835144,0.5948103792415169,0.2435129740518962,0.154296875,0.564453125,0.548828125,0.015625,0.046875,0.7741935483870968
dynamic_replay_effect,0,none,0.6471621990203857,0.23975250124931335,16.3125,0.8723815701344679,0.5434198213144372,-0.9036647532263746,0.5413548946380615,-0.018935389816761017,0.8224427103996277,0.6946107784431138,0.5469061876247505,0.12109375,0.205078125,0.203125,0.001953125,0.05859375,0.9032258064516129
dynamic_replay_effect,1,none,0.6651211977005005,0.221793532371521,14.435546875,0.8719533334371753,0.5431738882902556,-1.6772928007315109,0.5975971221923828,0.0,0.8807901740074158,0.7245508982035929,0.5608782435129741,0.14453125,0.19140625,0.189453125,0.001953125,0.0546875,0.9032258064516129
dynamic_replay_effect,2,none,0.5927590131759644,0.2941557466983795,17.185546875,0.8746776264405286,0.5469647306856382,-0.24670391764197622,0.061635758727788925,-0.02376975677907467,0.6883094310760498,0.626746506986028,0.3532934131736527,0.078125,0.474609375,0.462890625,0.01171875,0.03125,0.7096774193548387
full_primitive_action_effect,0,none,0.6668553352355957,0.22005942463874817,14.236328125,0.8764676758618695,0.5491490983755781,-0.990964433449709,0.5915316939353943,0.0,0.8787678480148315,0.7085828343313373,0.5508982035928144,0.140625,0.1796875,0.177734375,0.001953125,0.056640625,0.7419354838709677
full_primitive_action_effect,1,none,0.6834700107574463,0.2034447193145752,12.3125,0.879869426191753,0.5536573871516899,-0.7730689454254901,0.6281088590621948,0.007234507240355015,0.8921709656715393,0.7544910179640718,0.5988023952095808,0.125,0.17578125,0.17578125,0.0,0.048828125,0.8387096774193549
full_primitive_action_effect,2,none,0.5268173217773438,0.36009740829467773,20.45703125,0.8760886157351675,0.548511361398007,-0.9460753542629892,0.02908960171043873,-0.04570217430591583,0.4951169490814209,0.6007984031936128,0.249500998003992,0.134765625,0.58984375,0.576171875,0.013671875,0.046875,0.7419354838709677
full_primitive_no_interaction_mask,0,none,0.6666812896728516,0.22023341059684753,14.279296875,0.8747389302649526,0.5470739369028923,-0.8979387570674691,0.5717328190803528,0.0,0.8764034509658813,0.7085828343313373,0.5369261477045908,0.123046875,0.193359375,0.185546875,0.0078125,0.0546875,0.7096774193548387
full_primitive_no_interaction_mask,1,none,0.6568135619163513,0.23010115325450897,15.54296875,0.8701771914170195,0.5408702831728809,-0.914007147151592,0.557100772857666,0.0,0.8562480807304382,0.7265469061876247,0.562874251497006,0.10546875,0.212890625,0.2109375,0.001953125,0.048828125,0.9032258064516129
full_primitive_no_interaction_mask,2,none,0.597519040107727,0.28939566016197205,17.607421875,0.8730407809506432,0.544892787427636,-0.2473870725591691,0.0710543617606163,-0.02127530612051487,0.7399508357048035,0.6487025948103793,0.36726546906187624,0.072265625,0.458984375,0.453125,0.005859375,0.02734375,0.8064516129032258
interaction_mask_only,0,none,0.6538529992103577,0.23306170105934143,15.443359375,0.8724844849032378,0.5435256605582828,-0.833268844629308,0.5462303161621094,-0.006256644148379564,0.8236618638038635,0.7045908183632734,0.5548902195608783,0.111328125,0.1953125,0.193359375,0.001953125,0.05859375,0.9032258064516129
interaction_mask_only,1,none,0.6521124243736267,0.2348022758960724,15.2578125,0.8741597148203942,0.5458390929873249,-0.981505655326663,0.5701562166213989,0.0,0.8694477081298828,0.7285429141716567,0.5489021956087824,0.1484375,0.197265625,0.197265625,0.0,0.068359375,0.8387096774193549
interaction_mask_only,2,none,0.5319947600364685,0.35491999983787537,20.615234375,0.8684386550096684,0.5383792453121652,-1.0828163555496415,0.023755129426717758,-0.04818650335073471,0.5130177736282349,0.592814371257485,0.25349301397205587,0.11328125,0.572265625,0.556640625,0.015625,0.044921875,0.7741935483870968
full_engineered_action_effect,0,none,0.687076985836029,0.19983772933483124,12.548828125,0.8795026045780939,0.5532213212478808,-0.7280623998310316,0.6050382852554321,0.022872228175401688,0.892113208770752,0.7624750499001997,0.5888223552894212,0.103515625,0.185546875,0.185546875,0.0,0.033203125,0.9032258064516129
full_engineered_action_effect,1,none,0.6562235355377197,0.23069113492965698,15.34375,0.8706483741691718,0.5415154547244001,-0.8904733880278478,0.5565744042396545,0.0,0.8534424304962158,0.720558882235529,0.5489021956087824,0.115234375,0.21875,0.216796875,0.001953125,0.05078125,0.8064516129032258
full_engineered_action_effect,2,none,0.5350583791732788,0.3518563210964203,19.904296875,0.8750590230106297,0.5473779009680555,-0.891015495450134,0.0313425287604332,-0.04051335155963898,0.586635947227478,0.592814371257485,0.2774451097804391,0.1171875,0.583984375,0.5703125,0.013671875,0.041015625,0.7741935483870968
wote_full_future,0,none,0.6997197866439819,0.18719492852687836,11.205078125,0.884188286185389,0.5594765831568154,-0.6655898256108402,0.6354358196258545,0.031388893723487854,0.892113208770752,0.7644710578842315,0.5948103792415169,0.078125,0.169921875,0.16796875,0.001953125,0.037109375,0.8387096774193549
wote_full_future,1,none,0.7242552042007446,0.16265946626663208,10.94921875,0.89400969290233,0.5730658853645729,-0.2799081047764513,0.6614248156547546,0.05372443422675133,0.9262390732765198,0.780439121756487,0.6207584830339321,0.060546875,0.13671875,0.13671875,0.0,0.0234375,0.8064516129032258
wote_full_future,2,none,0.5714453458786011,0.3154694139957428,16.74609375,0.8903183348501672,0.5680485809341207,-0.9077755993454854,0.03931967169046402,-0.027917254716157913,0.5707712173461914,0.6087824351297405,0.27345309381237526,0.03515625,0.564453125,0.55859375,0.005859375,0.015625,0.8709677419354839
