model_type,seed,factor,mae,brier,auc,strict_compliance_auc,violation_auc
interaction_mask_only,1,DAC,0.1455027163028717,0.0775984451174736,0.9683998906891598,,
interaction_mask_only,1,DDC,0.1862306296825409,0.05684077739715576,,0.8476235338238942,0.8476235338238942
interaction_mask_only,1,EP,0.12542641162872314,0.03399623930454254,,,
interaction_mask_only,1,TTC,0.21820200979709625,0.1124914363026619,0.9278699674636568,,
interaction_mask_only,1,Comfort,0.0342717319726944,0.017225971445441246,0.9977295001193911,,
interaction_mask_only,2,NC,0.13995058834552765,0.0691881850361824,0.9530355249145241,,
interaction_mask_only,2,DAC,0.09127844870090485,0.048573244363069534,0.9850577041380386,,
interaction_mask_only,2,DDC,0.1708863079547882,0.05083189904689789,,0.8757666237907055,0.8757666237907054
interaction_mask_only,2,EP,0.09008432924747467,0.02632436528801918,,,
interaction_mask_only,2,TTC,0.16192121803760529,0.09129650145769119,0.9479483568545499,,
interaction_mask_only,2,Comfort,0.01920231245458126,0.009947218000888824,0.9993497765894919,,
full_engineered_action_effect,0,NC,0.14217902719974518,0.06694109737873077,0.957477779314412,,
full_engineered_action_effect,0,DAC,0.12241540849208832,0.06423291563987732,0.9782415848101713,,
full_engineered_action_effect,0,DDC,0.18486499786376953,0.056549325585365295,,0.8673360505038193,0.8673360505038192
full_engineered_action_effect,0,EP,0.10935994237661362,0.029472580179572105,,,
full_engineered_action_effect,0,TTC,0.17481540143489838,0.09380126744508743,0.9492828592557421,,
full_engineered_action_effect,0,Comfort,0.02768930234014988,0.012494226917624474,0.9987756363583379,,
full_engineered_action_effect,1,NC,0.14687776565551758,0.06778700649738312,0.9531113880562468,,
full_engineered_action_effect,1,DAC,0.11525729298591614,0.059054985642433167,0.9776765155240137,,
full_engineered_action_effect,1,DDC,0.17846190929412842,0.05372893065214157,,0.8669019237780886,0.8669019237780886
full_engineered_action_effect,1,EP,0.10257524251937866,0.02764197811484337,,,
full_engineered_action_effect,1,TTC,0.18126288056373596,0.09266573190689087,0.9466047565963863,,
full_engineered_action_effect,1,Comfort,0.02562900260090828,0.010344368405640125,0.9991287312697118,,
full_engineered_action_effect,2,NC,0.13051274418830872,0.06235582008957863,0.9642227204682667,,
full_engineered_action_effect,2,DAC,0.09747925400733948,0.05201849713921547,0.9833472736189397,,
full_engineered_action_effect,2,DDC,0.17260858416557312,0.051030781120061874,,0.8765824973322812,0.8765824973322812
full_engineered_action_effect,2,EP,0.099013552069664,0.02863025851547718,,,
full_engineered_action_effect,2,TTC,0.1575813591480255,0.0840664654970169,0.9554790151606529,,
full_engineered_action_effect,2,Comfort,0.02804691717028618,0.016378559172153473,0.9981787155228311,,
wote_full_future,0,NC,0.09262001514434814,0.04444345831871033,0.9784118777739713,,
wote_full_future,0,DAC,0.04121540114283562,0.022602450102567673,0.9963687427899881,,
wote_full_future,0,DDC,0.1631268411874771,0.045996617525815964,,0.8840271709029399,0.88402717090294
wote_full_future,0,EP,0.07114418596029282,0.019916720688343048,,,
