model_type,seed,intervention,selected_score,top1_regret,mean_selected_candidate_rank,pairwise_ranking_accuracy,kendall_tau,oracle_capture_mean,oracle_capture_median,oracle_capture_q25,oracle_capture_q75,oracle_capture_fraction_gt_0,oracle_capture_fraction_ge_0_5,hard_false_safe_rate,direction_non_compliance_rate,ddc_half_rate,ddc_zero_rate,zero_score_selection_rate,wote_failure_recovery_rate
full_primitive_action_effect,1,none,0.4824329614639282,0.40448179841041565,24.515625,0.8606843331456762,0.5271047213074004,-2.2192715554335596,0.0004298267012927681,-0.18975764513015747,0.2546091675758362,0.500998003992016,0.18163672654690619,0.12890625,0.646484375,0.62890625,0.017578125,0.07421875,0.6451612903225806
full_primitive_action_effect,2,none,0.4870688319206238,0.3998458981513977,25.130859375,0.8617434095607264,0.5288751632233062,-1.909479238837632,0.0019174441695213318,-0.14941279590129852,0.25889453291893005,0.500998003992016,0.18562874251497005,0.140625,0.623046875,0.587890625,0.03515625,0.08203125,0.5161290322580645
full_primitive_no_interaction_mask,0,none,0.46295666694641113,0.42395803332328796,35.322265625,0.832305224064922,0.48847685097301263,-2.0566501654279645,-0.0365791916847229,-0.40502482652664185,0.04102814570069313,0.3253493013972056,0.14770459081836326,0.103515625,0.654296875,0.63671875,0.017578125,0.048828125,0.6451612903225806
full_primitive_no_interaction_mask,1,none,0.47466737031936646,0.41224735975265503,31.810546875,0.833239578906144,0.4892792210288527,-1.991689198578154,-0.011977912858128548,-0.3855664134025574,0.30540478229522705,0.3852295409181637,0.19760479041916168,0.13671875,0.61328125,0.583984375,0.029296875,0.07421875,0.6451612903225806
full_primitive_no_interaction_mask,2,none,0.4651942253112793,0.4217205047607422,29.583984375,0.8462174093960627,0.5066410662261203,-1.4728453711607956,0.0,-0.3394750654697418,0.2546091675758362,0.4411177644710579,0.17365269461077845,0.177734375,0.6328125,0.5859375,0.046875,0.10546875,0.6451612903225806
interaction_mask_only,0,none,0.4952384829521179,0.3916761875152588,26.23828125,0.8583546765583521,0.524602014116003,-1.4225851676679875,0.0,-0.10907376557588577,0.32516685128211975,0.49500998003992014,0.18163672654690619,0.107421875,0.640625,0.59765625,0.04296875,0.06640625,0.6451612903225806
interaction_mask_only,1,none,0.443689227104187,0.4432254433631897,37.705078125,0.8216424752058852,0.4731804217617932,-2.5336472806882524,-0.04863831400871277,-0.4550251364707947,0.0464395247399807,0.3153692614770459,0.1497005988023952,0.2109375,0.609375,0.5703125,0.0390625,0.111328125,0.5483870967741935
interaction_mask_only,2,none,0.4762446880340576,0.4106700122356415,28.55078125,0.8580728569807365,0.5235170245926324,-1.9626140949939528,0.0,-0.28317153453826904,0.28734660148620605,0.49500998003992014,0.19161676646706588,0.171875,0.623046875,0.591796875,0.03125,0.078125,0.6129032258064516
full_engineered_action_effect,0,none,0.48765718936920166,0.3992575407028198,30.7890625,0.84781097505346,0.5096375071380992,-1.7656090612616901,0.0,-0.1918671429157257,0.3249182105064392,0.4251497005988024,0.2055888223552894,0.146484375,0.611328125,0.568359375,0.04296875,0.076171875,0.5806451612903226
full_engineered_action_effect,1,none,0.48194146156311035,0.40497326850891113,29.72265625,0.8438999913217816,0.5034728296701876,-1.9152731427744736,0.0,-0.28029024600982666,0.3425580561161041,0.4491017964071856,0.20958083832335328,0.17578125,0.59375,0.55859375,0.03515625,0.095703125,0.6451612903225806
full_engineered_action_effect,2,none,0.46826502680778503,0.41864967346191406,28.5859375,0.8611843320330841,0.5281448295035535,-1.9814087855959583,0.005711174104362726,-0.4020109474658966,0.34947386384010315,0.5169660678642715,0.18962075848303392,0.185546875,0.642578125,0.591796875,0.05078125,0.09765625,0.6451612903225806
wote_full_future,0,none,0.5736525058746338,0.3132622241973877,14.958984375,0.895129071808919,0.5745485949784023,-0.778621159508722,0.06588786840438843,0.0,0.625530481338501,0.6846307385229541,0.2834331337325349,0.048828125,0.56640625,0.55078125,0.015625,0.02734375,0.7419354838709677
wote_full_future,1,none,0.5331653952598572,0.3537493348121643,18.818359375,0.8948511463036353,0.574544916823968,-1.4881266867756466,0.06273440271615982,0.0,0.5322268605232239,0.6926147704590818,0.2634730538922156,0.08984375,0.634765625,0.607421875,0.02734375,0.052734375,0.7096774193548387
