method,artifact_sha256,tier,validation_pdms_delta,validation_ci95_low,validation_ci95_high,navtest_selected_pdms,navtest_public_base_pdms,navtest_best_of_64_pdms,navtest_pdms_delta,navtest_ci95_low,navtest_ci95_high,navtest_status,navtest_scorer_regret,navtest_regret_reduction_fraction,switch_rate,win_rate,loss_rate,scene_count,log_count,candidate_count,invalid_scene_count,inference_inputs_only,official_pdm_used_only_after_selection,promotion_manifest,campaign_summary,navtest_no_at_fault_collisions_delta,navtest_drivable_area_compliance_delta,navtest_driving_direction_compliance_delta,navtest_time_to_collision_within_bound_delta,navtest_ego_progress_delta,navtest_comfort_delta,navtest_score_delta
full_local_hybrid_top16_basepairw2_seed2_v1,f98cbe7e736be5ea1e755fa560c765a51043613520fe7621b818686edd269095,diagnostic_safety_regression,0.003566780826076865,0.003005274096998766,0.004115820787942578,0.9071499850069124,0.9095938782172857,0.9841117299620842,-0.002443893210373226,-0.0039089424221144045,-0.000979379489112865,TEST_NEGATIVE_SIGNIFICANT,0.07696174495517177,-0.032796077089592535,0.2326691915033756,0.16803886053021572,0.011691091717437839,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_full_wave1.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_full_wave1_scorers_navtest_fp32_v2/campaign_summary.json,-0.0020171249794171953,-0.0023876173225753083,-0.002552280586201161,-0.003951918327021242,0.0020085210874664083,0.0,-0.0024438932103733046
residual_partial12k_residual_top8_safetyw10_seed2_v1,6a68125091c454431985c9237c3b058b17fe01668b5bd13ae0aa8444e1b16183,deployable,0.0016340670408681035,0.0012550112841380433,0.0020354965715231213,0.907021748322534,0.9095938782172857,0.9841117299620842,-0.0025721298947515665,-0.003998431234802508,-0.0013337222507587912,TEST_NEGATIVE_SIGNIFICANT,0.07708998163955011,-0.03451696250665348,0.31565947637082165,0.08998847357154618,0.014902025358142598,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0006174872385971142,-0.002058290795323492,-0.0006998188704099295,-0.0028816071134529775,-0.000391515118766006,0.0,-0.0025721298947516402
residual_partial12k_hybrid_top8_relativew0_seed2_v1,ed5b62d2a9a62db9e3f7e7c06cec999080277ed714086f6e8c6de06dd34079df,deployable,0.003716014325618744,0.0030415378426569277,0.004450020449949205,0.9068635225359816,0.9095938782172857,0.9841117299620842,-0.0027303556813040304,-0.0043226530614333125,-0.001304173530322947,TEST_NEGATIVE_SIGNIFICANT,0.07724820742610257,-0.03664028977451861,0.11971019265601844,0.08751852461715791,0.007656841758603656,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0008644821340360043,-0.0038695866952082048,-0.0022641198748558633,-0.003457928536143573,0.0017828373417869692,0.0,-0.0027303556813040863
full_local_hybrid_top16_basepairw2_seed0_v1,28c0dcb932325b128f7519646265b7202941efd220e43a736300975aa727f56a,diagnostic_safety_regression,0.004312420729547739,0.0035030309401094663,0.005058182157264398,0.906770010160277,0.9095938782172857,0.9841117299620842,-0.002823868057008593,-0.004621895949361403,-0.0011183623998950033,TEST_NEGATIVE_SIGNIFICANT,0.07734171980180714,-0.0378951887485901,0.21225094681376586,0.1571710851309073,0.011608760085624897,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_full_wave2.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_full_wave2_scorers_navtest_fp32_v2/campaign_summary.json,-0.0018112958998848239,-0.00304627037707883,-0.0024699489543882347,-0.0054338876996541385,0.003320304680877628,0.0,-0.002823868057008627
residual_partial12k_hybrid_top16_anchored_basepairw1_seed2_v1,f0e1400c8cee33083492a9feb5307fedadfb5b05cc7ae61d1c2c0ab8300a710e,deployable,0.00426914356648922,0.0036088090749019763,0.004927053102000365,0.9066276289933638,0.9095938782172857,0.9841117299620842,-0.0029662492239218106,-0.00452210691136791,-0.001581078051168265,TEST_NEGATIVE_SIGNIFICANT,0.07748410096872035,-0.039805887508409965,0.23859706899390745,0.16219331467149678,0.010785443767495472,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0020171249794171953,-0.0028816071134529775,-0.0021406224271364183,-0.005351556067841212,0.002616330505241904,-0.0002469948954388901,-0.0029662492239218574
full_local_residual_top16_basepairw2_seed2_v1,cd48de3820006e49d657965b6d05fce690306602a185d2548518e03b02eca780,diagnostic_safety_regression,0.0036160543095320463,0.003073196446993204,0.004178418027711318,0.9065947440702382,0.9095938782172857,0.9841117299620842,-0.0029991341470474667,-0.0045109852503568484,-0.001553151605627498,TEST_NEGATIVE_SIGNIFICANT,0.07751698589184601,-0.04024719012725453,0.24032603326197927,0.16993248806191338,0.01202041824468961,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_full_wave1.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_full_wave1_scorers_navtest_fp32_v2/campaign_summary.json,-0.0022641198748559743,-0.002305285690762382,-0.0016877984521652678,-0.005269224436028286,0.001993248976181916,-0.0002469948954388901,-0.002999134147047444
residual_partial12k_hybrid_top16_relativew1_seed2_v1,b8aea8a6db4cf03d9fa562917f229a9a0e1051dbbdf6ee20f1d35111bda3a1cb,deployable,0.0034757815301418304,0.002965535160916533,0.003998947011298973,0.906570810411802,0.9095938782172857,0.9841117299620842,-0.0030230678054836107,-0.0045017304719140614,-0.0017811938803262838,TEST_NEGATIVE_SIGNIFICANT,0.07754091955028215,-0.040568370326035774,0.2515231351885394,0.1608760085624897,0.009879795817553104,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0020171249794171953,-0.0023876173225753083,-0.0018936275316976392,-0.005269224436028286,0.001771913823884308,0.0,-0.00302306780548367
residual_partial12k_hybrid_top8_seed2_v1,a1e8637a022ba1db86c1e00b8384fc6861831e47aff3401cf5bdcb6e5303f2f2,deployable,0.004669228568673134,0.0039057481492510903,0.005509386666545481,0.9062910706428058,0.9095938782172857,0.9841117299620842,-0.003302807574479835,-0.005100222509681891,-0.0016903755558600176,TEST_NEGATIVE_SIGNIFICANT,0.07782065931927838,-0.044322367018724274,0.1467149678906636,0.10620780503869587,0.010209122344804873,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0008644821340360043,-0.004610571381524764,-0.0034990943520499806,-0.005022229540589396,0.002845969245576341,0.0,-0.0033028075744798713
residual_partial12k_hybrid_top16_factor_topk_seed2_v1,165c3484e3f58e51989b4a0635a3be1a648d6ba0ba99e7704c016b54a7c05fa3,deployable,0.0036699376069009304,0.0031232612517145,0.004195697108637326,0.9061479824203332,0.9095938782172857,0.9841117299620842,-0.003445895796952404,-0.004881159124581282,-0.0021569384218764545,TEST_NEGATIVE_SIGNIFICANT,0.07796374754175095,-0.04624255418357448,0.26156759426971843,0.17199077885723696,0.011444096821999011,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0023464515066689007,-0.002305285690762382,-0.0020171249794170842,-0.0063395356495965505,0.001761572560328939,0.0,-0.003445895796952425
residual_partial12k_hybrid_top16_relativew0_seed2_v1,8f591b3ce479a5cae3caf25004ea9b66529675fba4af078e4923223e56b2d887,deployable,0.003918155562132597,0.0034011072094928493,0.004491574582969188,0.9060998792232074,0.9095938782172857,0.9841117299620842,-0.003493998994078213,-0.0052619183789749556,-0.002012929940699918,TEST_NEGATIVE_SIGNIFICANT,0.07801185073887676,-0.046888080000536236,0.42894780174543057,0.21595587024534826,0.013831714144574346,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0022641198748559743,-0.002552280586201161,-0.0005763214226905955,-0.0077391733904165205,0.003275522330084879,0.0,-0.003493998994078207
residual_partial12k_hybrid_top16_anchored_basepairw0_seed2_v1,33869dd4a9327a7ce5a519c098a84917583339ddcf005811432e75fa0300e15d,deployable,0.003918155562132597,0.0034011072094928493,0.004491574582969188,0.9060986038084559,0.9095938782172857,0.9841117299620842,-0.0034952744088297756,-0.005262255244064316,-0.0020140554381075323,TEST_NEGATIVE_SIGNIFICANT,0.07801312615362832,-0.04690519556038808,0.42886547011361764,0.2158735386135353,0.013831714144574346,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0022641198748559743,-0.002552280586201161,-0.0005763214226905955,-0.0077391733904165205,0.0032724613425328952,0.0,-0.003495274408829796
residual_partial12k_hybrid_top16_seed2_v1,e9d5ec23384583f9399857579db328ca3a421e0923a46c2b91608548e52a1dcf,deployable,0.003911621402949095,0.0033178600795657136,0.004512286085718754,0.9060853581557199,0.9095938782172857,0.9841117299620842,-0.0035085200615657844,-0.005357756795568152,-0.002042619250443386,TEST_NEGATIVE_SIGNIFICANT,0.07802637180636433,-0.04708294696392268,0.24575992096163346,0.16342828914869093,0.010867775399308414,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0018524617157912315,-0.0031286020088917565,-0.0021406224271364183,-0.006010209122344734,0.002071562387072512,0.0,-0.0035085200615657675
residual_partial12k_hybrid_top16_anchored_basepairw5_seed2_v2,7eb04977e4fc78e69c8e61bef661c01c03b87aba9ca7e7d745d49c68d8818b78,deployable,0.003287317231297493,0.002863174442404163,0.003731535732493364,0.9058716929976677,0.9095938782172857,0.9841117299620842,-0.0037221852196179604,-0.00508508773804003,-0.002492654003480645,TEST_NEGATIVE_SIGNIFICANT,0.0782400369644165,-0.04995024859768282,0.37856084307590976,0.19389099291947967,0.015231351885394368,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0022641198748559743,-0.0021406224271364183,-0.0017701300839781942,-0.007656841758603594,0.002284053660942753,-0.00032932652725181644,-0.0037221852196179794
residual_partial12k_hybrid_top16_relativew5_seed2_v1,09ddbf0915c9aa1cbdf7829215ee7b3453fca5322c2029d1bdc8261b2df2e1f8,deployable,0.004113978240638971,0.0034914212086204614,0.00478814866474603,0.9058346943320974,0.9095938782172857,0.9841117299620842,-0.00375918388518827,-0.005446832444302522,-0.0021837356533569757,TEST_NEGATIVE_SIGNIFICANT,0.07827703562998681,-0.050446756007706206,0.20064218672814096,0.13699983533673638,0.011526428453811955,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0021406224271365293,-0.002963938745265904,-0.0028816071134529775,-0.006257204017783624,0.0018659300762328135,-0.00016466326362596373,-0.0037591838851882553
residual_partial12k_hybrid_top16_factor_topk_safetyw200_seed2_v1,45583f424691f2df68d3b374b4e093253a2650adef6feeee9263198d300af5b0,deployable,0.004187516402453184,0.0031767011973527614,0.005561133346507523,0.9056467812673354,0.9095938782172857,0.9841117299620842,-0.003947096949950211,-0.005501736338851466,-0.002563487412655352,TEST_NEGATIVE_SIGNIFICANT,0.07846494869474875,-0.05296847476854061,0.4583401943026511,0.2210604314177507,0.016795652889840276,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0027581096657336435,-0.0026346122180140874,-0.002181788243042937,-0.007245183599538851,0.0019253950996059865,0.0,-0.003947096949950213
residual_partial12k_hybrid_top8_safetyw10_seed2_v1,d3d708c22e4e3ebaaa4c44d52a99a7c55d71a922e7582afd9c9fec6edf6afccb,deployable,0.004037785343825817,0.003510861297929432,0.004594413416259337,0.9056336184420402,0.9095938782172857,0.9841117299620842,-0.003960259775245443,-0.005848948273397057,-0.002346959339256684,TEST_NEGATIVE_SIGNIFICANT,0.07847811152004398,-0.05314511466068761,0.4673143421702618,0.22468302321752018,0.01827762226247324,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0013584719249135624,-0.0037872550633952784,-0.00304627037707883,-0.006998188704100072,0.002699885563365201,0.0,-0.0039602597752455004
residual_partial12k_hybrid_top16_factor_topk_safetyw50_seed2_v1,a5b67848f685af9b9a8206dd587a1a7c1457f02a8ded268014f334c73b38aa5a,deployable,0.003982341382652521,0.003410692340260432,0.004573472733241109,0.9054560335455765,0.9095938782172857,0.9841117299620842,-0.004137844671709188,-0.005709483805803466,-0.002724611065137203,TEST_NEGATIVE_SIGNIFICANT,0.07865569641650773,-0.05552823350141756,0.4667380207475712,0.21554421208628355,0.01827762226247324,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.002675778033920717,-0.002963938745265904,-0.002840441297546459,-0.006668862176848256,0.0016479610601799477,-8.233163181292635e-05,-0.00413784467170919
full_local_hybrid_top16_basepairw2_seed1_v1,f20a18e65e3f8d8d957c0925dc9075a61504d3dbeff7fac3f15efa874de10c27,diagnostic_safety_regression,0.004134851042181253,0.00352896211302105,0.004700326503984766,0.9049740835224387,0.9095938782172857,0.9841117299620842,-0.004619794694846964,-0.006328389673198645,-0.0029207631433354124,TEST_NEGATIVE_SIGNIFICANT,0.0791376464396455,-0.06199581156295797,0.41371644986003625,0.25810966573357486,0.019347933476041496,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_full_wave2.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_full_wave2_scorers_navtest_fp32_v2/campaign_summary.json,-0.0031697678247983863,-0.0031286020088917565,-0.002922772929359385,-0.007821505022229447,0.0017921209651851067,8.233163181292635e-05,-0.004619794694846968
residual_partial12k_hybrid_top8_anchored_basepairw2_seed2_v1,da5b03d147e35b83b24683bf14a6bda2e2c3fcea263c55508a4db8fc2c45dd3a,deployable,0.004514186643064022,0.003969815168807495,0.005134641908150695,0.904849399637542,0.9095938782172857,0.9841117299620842,-0.004744478579743698,-0.006528568575651778,-0.003158651463354288,TEST_NEGATIVE_SIGNIFICANT,0.07926233032454225,-0.06366901982080941,0.39939074592458423,0.21340358965914705,0.016136999835336736,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0025111147702947534,-0.0038695866952082048,-0.001029145397661746,-0.009056479499423675,0.0032053775392214545,0.0,-0.004744478579743694
residual_partial12k_hybrid_top8_compositew1_seed2_v1,47f40df95380cb61bead317e59157b5fe77b23f94e9ebd28451543145302b45a,deployable,0.004670510068535805,0.0038985596099233993,0.005569777384650035,0.9045889890559046,0.9095938782172857,0.9841117299620842,-0.005004889161381046,-0.006439547015303701,-0.0036430820385351674,TEST_NEGATIVE_SIGNIFICANT,0.07952274090617958,-0.06716362648941221,0.4070475876831879,0.24460727811625227,0.01844228552609913,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.002675778033920717,-0.003210933640704683,-0.0032932652725176093,-0.010703112135682535,0.003618539947566779,0.0,-0.0050048891613810875
