model,fold,epoch,train_total,train_raw,train_delta,monitor_total,monitor_raw,monitor_delta,best_epoch
mlp_delta,0,29,1.5791443586349487,0.6842898726463318,0.8948544859886169,1.7763187885284424,0.767939567565918,1.0083792209625244,103
mlp_delta,0,30,1.570998191833496,0.6758939623832703,0.8951042294502258,1.7699617147445679,0.7599984407424927,1.0099632740020752,103
mlp_delta,0,31,1.5632874965667725,0.6681607961654663,0.8951267600059509,1.7641446590423584,0.7528151869773865,1.0113295316696167,103
mlp_delta,0,32,1.5559428930282593,0.6610738039016724,0.8948690891265869,1.7588313817977905,0.7463366985321045,1.012494683265686,103
mlp_delta,0,33,1.5489006042480469,0.6545764803886414,0.8943241834640503,1.7539596557617188,0.7404652237892151,1.0134943723678589,103
mlp_delta,0,34,1.542119026184082,0.6485865712165833,0.8935324549674988,1.7494456768035889,0.7350883483886719,1.014357328414917,103
mlp_delta,0,35,1.5355675220489502,0.6430166363716125,0.8925508856773376,1.7451891899108887,0.7301064729690552,1.0150827169418335,103
mlp_delta,0,36,1.529198169708252,0.6377930641174316,0.8914051055908203,1.7410919666290283,0.72545325756073,1.0156387090682983,103
mlp_delta,0,37,1.522937536239624,0.6328705549240112,0.890066921710968,1.7370998859405518,0.7211019396781921,1.0159980058670044,103
mlp_delta,0,38,1.5167236328125,0.6282358169555664,0.8884878754615784,1.7332408428192139,0.7170608639717102,1.0161800384521484,103
mlp_delta,0,39,1.5105609893798828,0.6238996982574463,0.8866612315177917,1.7296090126037598,0.7133552432060242,1.0162538290023804,103
mlp_delta,0,40,1.5045275688171387,0.6198800206184387,0.8846475481987,1.7263007164001465,0.710004985332489,1.0162957906723022,103
mlp_delta,0,41,1.498724341392517,0.6161808371543884,0.8825435042381287,1.7233408689498901,0.7070010900497437,1.0163397789001465,103
mlp_delta,0,42,1.4932074546813965,0.6127774715423584,0.8804299235343933,1.7206653356552124,0.7042932510375977,1.0163720846176147,103
mlp_delta,0,43,1.4879646301269531,0.6096144318580627,0.8783502578735352,1.718160629272461,0.7017919421195984,1.0163687467575073,103
mlp_delta,0,44,1.4829469919204712,0.6066166758537292,0.8763303160667419,1.715718388557434,0.6993825435638428,1.0163358449935913,103
mlp_delta,0,45,1.4781012535095215,0.6037060022354126,0.8743951916694641,1.7132530212402344,0.6969467997550964,1.0163061618804932,103
mlp_delta,0,46,1.4733707904815674,0.6008155345916748,0.8725553154945374,1.7106988430023193,0.6943838596343994,1.01631498336792,103
