model,split,feature,horizon_s,channel,statistic,support,truth_std,mae,rmse,normalized_rmse,r2,spearman
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_clearance_q90,1.0,dynamic_clearance,q90,19404,0.23174090683460236,0.11123359948396683,0.1374848634004593,0.5932706376638913,0.6480310759583358,0.8122390640261422
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_clearance_nonzero_fraction,1.0,dynamic_clearance,nonzero_fraction,19404,0.0334942601621151,0.013007743284106255,0.017421264201402664,0.5201291690686037,0.7294680154671196,0.8530446939056975
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_collision_field_mean,1.0,dynamic_collision_field,mean,19404,0.16977709531784058,0.06130271032452583,0.07946855574846268,0.46807616421235193,0.78090503219473,0.8887597417386005
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_collision_field_std,1.0,dynamic_collision_field,std,19404,0.11971022188663483,0.04594460502266884,0.06695611774921417,0.5593204230762935,0.6871630912279327,0.8633064121098175
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_collision_field_min,1.0,dynamic_collision_field,min,19404,0.0,0.0,0.0,0.0,,
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_collision_field_max,1.0,dynamic_collision_field,max,19404,0.18376152217388153,0.047240376472473145,0.15648317337036133,0.8516017007368448,0.2748527047632142,0.29560744705888886
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_collision_field_q10,1.0,dynamic_collision_field,q10,19404,0.0,0.0,0.0,0.0,,
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_collision_field_q90,1.0,dynamic_collision_field,q90,19404,0.3891376554965973,0.1737092286348343,0.28259801864624023,0.726182755991549,0.47261014162499393,0.5840591776611942
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_collision_field_nonzero_fraction,1.0,dynamic_collision_field,nonzero_fraction,19404,0.16977709531784058,0.06130271032452583,0.07946855574846268,0.46807616421235193,0.78090503219473,0.8887597417386005
extra_trees,outer_train_oof,C_environment_only_h2s_candidate_relative_dynamic_occupancy_mean,2.0,candidate_relative_dynamic_occupancy,mean,19404,0.03465450927615166,0.013415103778243065,0.01788731850683689,0.5161583599684947,0.7335774686132774,0.8591676550959076
extra_trees,outer_train_oof,C_environment_only_h2s_candidate_relative_dynamic_occupancy_std,2.0,candidate_relative_dynamic_occupancy,std,19404,0.07773137837648392,0.031232189387083054,0.039629124104976654,0.5098222816410222,0.7400820536104812,0.8616214003833561
extra_trees,outer_train_oof,C_environment_only_h2s_candidate_relative_dynamic_occupancy_min,2.0,candidate_relative_dynamic_occupancy,min,19404,0.0,0.0,0.0,0.0,,
extra_trees,outer_train_oof,C_environment_only_h2s_candidate_relative_dynamic_occupancy_max,2.0,candidate_relative_dynamic_occupancy,max,19404,0.1292964518070221,0.0221103448420763,0.10680707544088364,0.8261305914675182,0.3176190970001337,0.24297916938732367
extra_trees,outer_train_oof,C_environment_only_h2s_candidate_relative_dynamic_occupancy_q10,2.0,candidate_relative_dynamic_occupancy,q10,19404,0.0,0.0,0.0,0.0,,
extra_trees,outer_train_oof,C_environment_only_h2s_candidate_relative_dynamic_occupancy_q90,2.0,candidate_relative_dynamic_occupancy,q90,19404,0.27594617009162903,0.09113973379135132,0.2073107361793518,0.7512714071549585,0.43558978902521495,0.43064101259803494
extra_trees,outer_train_oof,C_environment_only_h2s_candidate_relative_dynamic_occupancy_nonzero_fraction,2.0,candidate_relative_dynamic_occupancy,nonzero_fraction,19404,0.03465450927615166,0.013415103778243065,0.01788731850683689,0.5161583599684947,0.7335774686132774,0.8591676550959076
extra_trees,outer_train_oof,C_environment_only_h2s_relative_longitudinal_velocity_mean,2.0,relative_longitudinal_velocity,mean,19404,0.008065336383879185,0.003958999644964933,0.005649182479828596,0.7004273050280078,0.5094014056873476,0.7587065273248821
extra_trees,outer_train_oof,C_environment_only_h2s_relative_longitudinal_velocity_std,2.0,relative_longitudinal_velocity,std,19404,0.028952984139323235,0.014958493411540985,0.019794361665844917,0.683672150553026,0.5325918132183777,0.7246176554727551
extra_trees,outer_train_oof,C_environment_only_h2s_relative_longitudinal_velocity_min,2.0,relative_longitudinal_velocity,min,19404,0.1890551596879959,0.10841230303049088,0.1709078997373581,0.9040048520732445,0.1827645487679418,0.5104223975100485
extra_trees,outer_train_oof,C_environment_only_h2s_relative_longitudinal_velocity_max,2.0,relative_longitudinal_velocity,max,19404,0.2267174869775772,0.11918813735246658,0.15222205221652985,0.6714108097055643,0.5491987001446819,0.7496093929216883
extra_trees,outer_train_oof,C_environment_only_h2s_relative_longitudinal_velocity_q10,2.0,relative_longitudinal_velocity,q10,19404,0.007410501129925251,0.0009945663623511791,0.007238179445266724,0.9768975404277644,0.045966868181801845,0.17444512905819917
extra_trees,outer_train_oof,C_environment_only_h2s_relative_longitudinal_velocity_q90,2.0,relative_longitudinal_velocity,q90,19404,0.016397060826420784,0.0030169570818543434,0.014181140810251236,0.8648494711979134,0.2520194934272605,0.2946398514401101
extra_trees,outer_train_oof,C_environment_only_h2s_relative_longitudinal_velocity_nonzero_fraction,2.0,relative_longitudinal_velocity,nonzero_fraction,19404,0.03441759943962097,0.013661302626132965,0.018469465896487236,0.5366276036593022,0.7120297709214343,0.8470463247007066
extra_trees,outer_train_oof,C_environment_only_h2s_relative_lateral_velocity_mean,2.0,relative_lateral_velocity,mean,19404,0.011287449859082699,0.004495838191360235,0.007802663836628199,0.6912728483674442,0.5221471653866824,0.7889352662238043
